YYYY-MM,ELRW_USQNT
2015-01,708498.0
2015-02,705432.0
2015-03,580265.0
2015-04,579867.0
2015-05,513557.0
2015-06,535568.0
2015-07,541859.0
2015-08,636649.0
2015-09,550109.0
2015-10,494144.0
2015-11,533570.0
2015-12,595793.0
2016-01,668896.0
2016-02,687390.0
2016-03,599011.0
2016-04,548067.0
2016-05,494408.0
2016-06,520547.0
2016-07,559624.0
2016-08,709062.0
2016-09,576712.0
2016-10,489322.0
2016-11,546151.0
2016-12,609367.0
2017-01,643971.0
2017-02,656315.0
2017-03,521240.0
2017-04,523632.0
2017-05,466243.0
2017-06,468852.0
2017-07,519002.0
2017-08,594255.0
2017-09,491704.0
2017-10,442107.0
2017-11,496996.0
2017-12,588938.0
2018-01,646332.0
2018-02,672575.0
2018-03,535456.0
2018-04,524315.0
2018-05,469320.0
2018-06,490045.0
2018-07,549691.0
2018-08,779016.0
2018-09,375924.0
2018-10,451512.0
2018-11,510342.0
2018-12,589272.0
2019-01,661324.0
2019-02,640880.0
2019-03,542151.0
2019-04,542445.0
2019-05,484904.0
2019-06,490651.0
2019-07,509876.0
2019-08,627129.0
2019-09,627343.0
2019-10,494867.0
2019-11,509834.0
2019-12,587291.0
2020-01,644108.0
2020-02,621042.0
2020-03,553095.0
2020-04,521677.0
2020-05,480066.0
2020-06,509490.0
2020-07,512563.0
2020-08,545807.0
2020-09,221622.0
2020-10,151220.0
2020-11,498258.0
2020-12,564475.0
2021-01,656228.0
2021-02,628040.0
2021-03,521297.0
2021-04,512438.0
2021-05,461319.0
2021-06,494003.0
2021-07,518741.0
2021-08,665464.0
2021-09,580367.0
2021-10,470001.0
2021-11,517380.0
2021-12,571066.0
2022-01,653019.0
2022-02,642661.0
2022-03,534557.0
2022-04,535376.0
2022-05,465416.0
2022-06,489377.0
2022-07,566614.0
2022-08,661465.0
2022-09,617682.0
2022-10,494845.0
2022-11,524104.0
2022-12,595931.0
