YYYY-MM,ELRW_USQNT
2015-01,80781.0
2015-02,77113.0
2015-03,56412.0
2015-04,49929.0
2015-05,39514.0
2015-06,36403.0
2015-07,36446.0
2015-08,38602.0
2015-09,34076.0
2015-10,35916.0
2015-11,50259.0
2015-12,61343.0
2016-01,48391.0
2016-02,46722.0
2016-03,37729.0
2016-04,30066.0
2016-05,23915.0
2016-06,19879.0
2016-07,16901.0
2016-08,17979.0
2016-09,15617.0
2016-10,15950.0
2016-11,23098.0
2016-12,27125.0
2017-01,29052.0
2017-02,29549.0
2017-03,4587.0
2017-04,4554.0
2017-05,4288.0
2017-06,5065.0
2017-07,5916.0
2017-08,6130.0
2017-09,4770.0
2017-10,4242.0
2017-11,5455.0
2017-12,6150.0
2018-01,6515.0
2018-02,6861.0
2018-03,5015.0
2018-04,4842.0
2018-05,4799.0
2018-06,7408.0
2018-07,7540.0
2018-08,7717.0
2018-09,6220.0
2018-10,6570.0
2018-11,9470.0
2018-12,12655.0
2019-01,13871.0
2019-02,12827.0
2019-03,9791.0
2019-04,8433.0
2019-05,7314.0
2019-06,8330.0
2019-07,8918.0
2019-08,9927.0
2019-09,7921.0
2019-10,7356.0
2019-11,6599.0
2019-12,6763.0
2020-01,4617.0
2020-02,4950.0
2020-03,4275.0
2020-04,4571.0
2020-05,4645.0
2020-06,9868.0
2020-07,11501.0
2020-08,8346.0
2020-09,7523.0
2020-10,5993.0
2020-11,7166.0
2020-12,8369.0
2021-01,8842.0
2021-02,6946.0
2021-03,8385.0
2021-04,9175.0
2021-05,8394.0
2021-06,9075.0
2021-07,10032.0
2021-08,10246.0
2021-09,7942.0
2021-10,7575.0
2021-11,7236.0
2021-12,8547.0
2022-01,10589.0
2022-02,10062.0
2022-03,7832.0
2022-04,8430.0
2022-05,7695.0
2022-06,8321.0
2022-07,12960.0
2022-08,13981.0
2022-09,10187.0
2022-10,30226.0
2022-11,40770.0
2022-12,60906.0
