YYYY-MM,CTY_GAS_USQNT
2015-01,1079480.0
2015-02,1029429.0
2015-03,9480766.0
2015-04,8120202.0
2015-05,4006951.0
2015-06,2243493.0
2015-07,3594292.0
2015-08,4590164.0
2015-09,4922461.0
2015-10,2458833.0
2015-11,2509534.0
2015-12,5373473.0
2016-01,10068182.0
2016-02,1523034.0
2016-03,9765396.0
2016-04,7986172.0
2016-05,3133691.0
2016-06,2458862.0
2016-07,232913.0
2016-08,449104.0
2016-09,584868.0
2016-10,219233.0
2016-11,140225.0
2016-12,599789.0
2017-01,977004.0
2017-02,1126206.0
2017-03,900487.0
2017-04,772832.0
2017-05,232581.0
2017-06,120250.0
2017-07,332566.0
2017-08,596816.0
2017-09,545669.0
2017-10,229210.0
2017-11,78674.0
2017-12,512958.0
2018-01,956386.0
2018-02,1298443.0
2018-03,970593.0
2018-04,649508.0
2018-05,238915.0
2018-06,122268.0
2018-07,245795.0
2018-08,534746.0
2018-09,574192.0
2018-10,203454.0
2018-11,127154.0
2018-12,519520.0
2019-01,1069349.0
2019-02,1102082.0
2019-03,892949.0
2019-04,626436.0
2019-05,368134.0
2019-06,122699.0
2019-07,188170.0
2019-08,505077.0
2019-09,651184.0
2019-10,340204.0
2019-11,82263.0
2019-12,153246.0
2020-01,1025794.0
2020-02,956426.0
2020-03,764218.0
2020-04,323286.0
2020-05,131683.0
2020-06,71411.0
2020-07,284622.0
2020-08,261195.0
2020-09,419578.0
2020-10,170538.0
2020-11,115492.0
2020-12,497876.0
2021-01,951287.0
2021-02,1123565.0
2021-03,786413.0
2021-04,553191.0
2021-05,137505.0
2021-06,125798.0
2021-07,295740.0
2021-08,377058.0
2021-09,431312.0
2021-10,226627.0
2021-11,148130.0
2021-12,459356.0
2022-01,824729.0
2022-02,898144.0
2022-03,867250.0
2022-04,548282.0
2022-05,189399.0
2022-06,103879.0
2022-07,373479.0
2022-08,427547.0
2022-09,455103.0
2022-10,242180.0
2022-11,124651.0
2022-12,431671.0
