YYYY-MM,CTY_GAS_USQNT
2015-01,1158820.0
2015-02,947689.0
2015-03,773065.0
2015-04,881054.0
2015-05,597990.0
2015-06,333677.0
2015-07,311484.0
2015-08,269978.0
2015-09,282513.0
2015-10,270493.0
2015-11,403160.0
2015-12,734868.0
2016-01,1089069.0
2016-02,1121058.0
2016-03,1034550.0
2016-04,869609.0
2016-05,497778.0
2016-06,359430.0
2016-07,381385.0
2016-08,372116.0
2016-09,381530.0
2016-10,335915.0
2016-11,568768.0
2016-12,1000209.0
2017-01,1322065.0
2017-02,1326791.0
2017-03,529989.0
2017-04,532264.0
2017-05,320622.0
2017-06,261847.0
2017-07,252325.0
2017-08,261435.0
2017-09,259399.0
2017-10,260021.0
2017-11,383818.0
2017-12,700235.0
2018-01,1035899.0
2018-02,972787.0
2018-03,731847.0
2018-04,663068.0
2018-05,465439.0
2018-06,336834.0
2018-07,304268.0
2018-08,337979.0
2018-09,327814.0
2018-10,286985.0
2018-11,424838.0
2018-12,644671.0
2019-01,986623.0
2019-02,825888.0
2019-03,715810.0
2019-04,697359.0
2019-05,506290.0
2019-06,352558.0
2019-07,301269.0
2019-08,341481.0
2019-09,312760.0
2019-10,286095.0
2019-11,329949.0
2019-12,182525.0
2020-01,745453.0
2020-02,797775.0
2020-03,671522.0
2020-04,532394.0
2020-05,417485.0
2020-06,313828.0
2020-07,326204.0
2020-08,349641.0
2020-09,281972.0
2020-10,247784.0
2020-11,413606.0
2020-12,675525.0
2021-01,997722.0
2021-02,988088.0
2021-03,673562.0
2021-04,640376.0
2021-05,438600.0
2021-06,352970.0
2021-07,318397.0
2021-08,327021.0
2021-09,259601.0
2021-10,259592.0
2021-11,358314.0
2021-12,576365.0
2022-01,870384.0
2022-02,873372.0
2022-03,780840.0
2022-04,590050.0
2022-05,330866.0
2022-06,277955.0
2022-07,312439.0
2022-08,336120.0
2022-09,284039.0
2022-10,294157.0
2022-11,458884.0
2022-12,655430.0
