YYYY-MM,CTY_GAS_USQNT
2015-01,9057262.0
2015-02,8564135.0
2015-03,6631680.0
2015-04,6688702.0
2015-05,2342990.0
2015-06,1669953.0
2015-07,2660316.0
2015-08,3090288.0
2015-09,3049693.0
2015-10,2486331.0
2015-11,1750445.0
2015-12,4338682.0
2016-01,8071425.0
2016-02,9344588.0
2016-03,7849437.0
2016-04,6010658.0
2016-05,2158715.0
2016-06,1754873.0
2016-07,2742619.0
2016-08,3074605.0
2016-09,3830685.0
2016-10,2508674.0
2016-11,1941251.0
2016-12,5594675.0
2017-01,8189817.0
2017-02,9436445.0
2017-03,7671307.0
2017-04,5887559.0
2017-05,1932452.0
2017-06,1830566.0
2017-07,2704815.0
2017-08,3528797.0
2017-09,3715141.0
2017-10,1914408.0
2017-11,1294782.0
2017-12,6142205.0
2018-01,8384128.0
2018-02,9998232.0
2018-03,7099914.0
2018-04,4935618.0
2018-05,2063523.0
2018-06,1848643.0
2018-07,987011.0
2018-08,785291.0
2018-09,3628117.0
2018-10,2175473.0
2018-11,1809289.0
2018-12,5373288.0
2019-01,7905533.0
2019-02,8481262.0
2019-03,6982119.0
2019-04,4968156.0
2019-05,1989364.0
2019-06,1984699.0
2019-07,2866166.0
2019-08,3176420.0
2019-09,3318299.0
2019-10,2568081.0
2019-11,2132744.0
2019-12,362770.0
2020-01,7061772.0
2020-02,7022428.0
2020-03,4942884.0
2020-04,1852587.0
2020-05,2122316.0
2020-06,1121229.0
2020-07,2090066.0
2020-08,1906811.0
2020-09,2584054.0
2020-10,1728921.0
2020-11,1511043.0
2020-12,3699666.0
2021-01,7129627.0
2021-02,7713892.0
2021-03,5583908.0
2021-04,4342801.0
2021-05,1966246.0
2021-06,1437550.0
2021-07,2209222.0
2021-08,2899580.0
2021-09,2700920.0
2021-10,1988851.0
2021-11,2210451.0
2021-12,2014531.0
2022-01,9825795.0
2022-02,7871433.0
2022-03,7251010.0
2022-04,4944808.0
2022-05,1858408.0
2022-06,1606580.0
2022-07,876238.0
2022-08,3007436.0
2022-09,2993289.0
2022-10,2289394.0
2022-11,2058840.0
2022-12,3809228.0
