YYYY-MM,ELRW_USQNT
2015-01,2198555.0
2015-02,2053246.0
2015-03,1588608.0
2015-04,1491394.0
2015-05,1374752.0
2015-06,1658194.0
2015-07,1765128.0
2015-08,2144220.0
2015-09,1791234.0
2015-10,1398458.0
2015-11,1417804.0
2015-12,1617576.0
2016-01,1837042.0
2016-02,1922526.0
2016-03,1650508.0
2016-04,1444433.0
2016-05,1351610.0
2016-06,1658519.0
2016-07,1886467.0
2016-08,2330268.0
2016-09,1995798.0
2016-10,1509450.0
2016-11,1482954.0
2016-12,1727123.0
2017-01,1891213.0
2017-02,1964368.0
2017-03,1356737.0
2017-04,1239134.0
2017-05,1166139.0
2017-06,1351175.0
2017-07,1667307.0
2017-08,1885718.0
2017-09,1541075.0
2017-10,1236933.0
2017-11,1164307.0
2017-12,1598294.0
2018-01,1817764.0
2018-02,1874276.0
2018-03,1394179.0
2018-04,1284988.0
2018-05,1192719.0
2018-06,1427908.0
2018-07,1552541.0
2018-08,2111871.0
2018-09,1686589.0
2018-10,1192526.0
2018-11,1225494.0
2018-12,1452275.0
2019-01,1730254.0
2019-02,1578606.0
2019-03,1341774.0
2019-04,1319518.0
2019-05,1304064.0
2019-06,1498295.0
2019-07,1647124.0
2019-08,2068669.0
2019-09,1878857.0
2019-10,1442150.0
2019-11,1342774.0
2019-12,1621490.0
2020-01,1819046.0
2020-02,1794016.0
2020-03,1498130.0
2020-04,1356643.0
2020-05,1301306.0
2020-06,1557419.0
2020-07,1683254.0
2020-08,1811160.0
2020-09,1752501.0
2020-10,1230251.0
2020-11,1325998.0
2020-12,1526774.0
2021-01,1782270.0
2021-02,1704250.0
2021-03,1427531.0
2021-04,1369795.0
2021-05,1296284.0
2021-06,1579284.0
2021-07,1788759.0
2021-08,2105414.0
2021-09,1707138.0
2021-10,1512737.0
2021-11,1439654.0
2021-12,1652112.0
2022-01,1906031.0
2022-02,1862876.0
2022-03,1570096.0
2022-04,1450195.0
2022-05,1387358.0
2022-06,1606890.0
2022-07,1952511.0
2022-08,2082198.0
2022-09,1780006.0
2022-10,1561906.0
2022-11,1451903.0
2022-12,1692209.0
