YYYY-MM,CTY_GAS_USQNT
2015-01,7013979.0
2015-02,6301307.0
2015-03,5417932.0
2015-04,4159912.0
2015-05,2570370.0
2015-06,1453914.0
2015-07,1124636.0
2015-08,1003053.0
2015-09,1006013.0
2015-10,1334588.0
2015-11,2540082.0
2015-12,4513528.0
2016-01,5967406.0
2016-02,6914188.0
2016-03,5417499.0
2016-04,3729486.0
2016-05,2193269.0
2016-06,1337936.0
2016-07,1109480.0
2016-08,1032887.0
2016-09,986891.0
2016-10,1326226.0
2016-11,2926916.0
2016-12,4976172.0
2017-01,6116392.0
2017-02,6675234.0
2017-03,4864060.0
2017-04,3717966.0
2017-05,2057401.0
2017-06,1350462.0
2017-07,1077673.0
2017-08,997459.0
2017-09,1046061.0
2017-10,1299618.0
2017-11,2675530.0
2017-12,5404573.0
2018-01,6755438.0
2018-02,6931862.0
2018-03,5411934.0
2018-04,3827331.0
2018-05,2404690.0
2018-06,1497679.0
2018-07,1200585.0
2018-08,1005015.0
2018-09,1051578.0
2018-10,1566624.0
2018-11,3006207.0
2018-12,5023056.0
2019-01,6448171.0
2019-02,6141491.0
2019-03,4726873.0
2019-04,4184397.0
2019-05,2529473.0
2019-06,1531035.0
2019-07,1220902.0
2019-08,1035426.0
2019-09,985320.0
2019-10,1371515.0
2019-11,2561096.0
2019-12,3231962.0
2020-01,5767069.0
2020-02,5812326.0
2020-03,4877064.0
2020-04,3681966.0
2020-05,2501464.0
2020-06,1485978.0
2020-07,1191283.0
2020-08,1129308.0
2020-09,247847.0
2020-10,257594.0
2020-11,3030700.0
2020-12,4903360.0
2021-01,7392810.0
2021-02,6326954.0
2021-03,4692887.0
2021-04,3538228.0
2021-05,2251114.0
2021-06,1498101.0
2021-07,1152581.0
2021-08,963139.0
2021-09,990772.0
2021-10,1251196.0
2021-11,3034960.0
2021-12,4772530.0
2022-01,6740106.0
2022-02,6516509.0
2022-03,5225260.0
2022-04,3972145.0
2022-05,2113717.0
2022-06,1438547.0
2022-07,1136243.0
2022-08,993310.0
2022-09,1068174.0
2022-10,1434246.0
2022-11,2735113.0
2022-12,4835984.0
