YYYY-MM,ELRW_USQNT
2015-01,4409775.0
2015-02,4155839.0
2015-03,3796836.0
2015-04,3739010.0
2015-05,3472051.0
2015-06,3701253.0
2015-07,3975598.0
2015-08,4554296.0
2015-09,3845972.0
2015-10,3536805.0
2015-11,3685201.0
2015-12,4011234.0
2016-01,3920050.0
2016-02,3890075.0
2016-03,3490822.0
2016-04,3284745.0
2016-05,3118789.0
2016-06,3393898.0
2016-07,3686807.0
2016-08,4521159.0
2016-09,3505684.0
2016-10,3109329.0
2016-11,3324789.0
2016-12,3643089.0
2017-01,3898810.0
2017-02,3844784.0
2017-03,3152801.0
2017-04,3131219.0
2017-05,2976234.0
2017-06,3161421.0
2017-07,3501634.0
2017-08,2921038.0
2017-09,2392043.0
2017-10,2826307.0
2017-11,3011348.0
2017-12,3470899.0
2018-01,3734653.0
2018-02,3726539.0
2018-03,3112338.0
2018-04,3043432.0
2018-05,2925227.0
2018-06,3089672.0
2018-07,3657918.0
2018-08,4604645.0
2018-09,3413927.0
2018-10,2825596.0
2018-11,2862712.0
2018-12,3401116.0
2019-01,3683018.0
2019-02,3463772.0
2019-03,3130268.0
2019-04,2912974.0
2019-05,3045985.0
2019-06,3215921.0
2019-07,3486740.0
2019-08,4247876.0
2019-09,3688376.0
2019-10,3113129.0
2019-11,3105903.0
2019-12,3411932.0
2020-01,3537431.0
2020-02,3481503.0
2020-03,3179918.0
2020-04,3136103.0
2020-05,3035964.0
2020-06,3388716.0
2020-07,3532023.0
2020-08,4026966.0
2020-09,2328955.0
2020-10,1865389.0
2020-11,3269298.0
2020-12,3646074.0
2021-01,4061556.0
2021-02,3777675.0
2021-03,3309824.0
2021-04,3267182.0
2021-05,3117123.0
2021-06,3394639.0
2021-07,3879112.0
2021-08,4481822.0
2021-09,3748118.0
2021-10,3287213.0
2021-11,3344533.0
2021-12,3670716.0
2022-01,4154534.0
2022-02,3979206.0
2022-03,3464846.0
2022-04,3300589.0
2022-05,3119197.0
2022-06,3459876.0
2022-07,4160205.0
2022-08,4529675.0
2022-09,3816764.0
2022-10,3251267.0
2022-11,3331611.0
2022-12,3786601.0
