YYYY-MM,CTY_GAS_USQNT
2015-01,4073583.0
2015-02,4045486.0
2015-03,3439091.0
2015-04,2982937.0
2015-05,1696442.0
2015-06,1186628.0
2015-07,986388.0
2015-08,1068643.0
2015-09,1070973.0
2015-10,943466.0
2015-11,1274100.0
2015-12,2181973.0
2016-01,3240278.0
2016-02,4020442.0
2016-03,3614361.0
2016-04,2662804.0
2016-05,1447859.0
2016-06,1089161.0
2016-07,974187.0
2016-08,993740.0
2016-09,1150862.0
2016-10,948936.0
2016-11,1218780.0
2016-12,2491395.0
2017-01,3439577.0
2017-02,4183203.0
2017-03,3565617.0
2017-04,2904047.0
2017-05,1448956.0
2017-06,1149598.0
2017-07,1013968.0
2017-08,1191537.0
2017-09,1253403.0
2017-10,853538.0
2017-11,1414052.0
2017-12,2636007.0
2018-01,3543572.0
2018-02,4319556.0
2018-03,3727583.0
2018-04,2536338.0
2018-05,1630362.0
2018-06,1237053.0
2018-07,1105251.0
2018-08,1235553.0
2018-09,1094297.0
2018-10,1061608.0
2018-11,1427285.0
2018-12,2415086.0
2019-01,3676956.0
2019-02,3905627.0
2019-03,3466829.0
2019-04,2675854.0
2019-05,1721353.0
2019-06,1257131.0
2019-07,1014865.0
2019-08,1125612.0
2019-09,1128210.0
2019-10,1006750.0
2019-11,1239244.0
2019-12,1981487.0
2020-01,3039019.0
2020-02,3618227.0
2020-03,3164128.0
2020-04,2419293.0
2020-05,1866708.0
2020-06,1055771.0
2020-07,1049715.0
2020-08,991857.0
2020-09,779223.0
2020-10,653895.0
2020-11,1332263.0
2020-12,2148687.0
2021-01,3870235.0
2021-02,4221254.0
2021-03,3101958.0
2021-04,2444095.0
2021-05,1505357.0
2021-06,1063269.0
2021-07,963457.0
2021-08,686410.0
2021-09,1139372.0
2021-10,861116.0
2021-11,1326888.0
2021-12,2161882.0
2022-01,3529846.0
2022-02,3870594.0
2022-03,3412659.0
2022-04,2786765.0
2022-05,1444178.0
2022-06,981340.0
2022-07,959168.0
2022-08,1006001.0
2022-09,1018243.0
2022-10,796329.0
2022-11,1132677.0
2022-12,1908740.0
