YYYY-MM,ELRW_USQNT
2015-01,3026884.0
2015-02,2967106.0
2015-03,2461067.0
2015-04,2411298.0
2015-05,2190220.0
2015-06,2380711.0
2015-07,2441226.0
2015-08,2795274.0
2015-09,2490722.0
2015-10,2230979.0
2015-11,2398251.0
2015-12,2636113.0
2016-01,2856654.0
2016-02,3031637.0
2016-03,2565959.0
2016-04,2192775.0
2016-05,2034310.0
2016-06,2226296.0
2016-07,2352417.0
2016-08,2735447.0
2016-09,2562535.0
2016-10,2199966.0
2016-11,2319848.0
2016-12,2620552.0
2017-01,2789530.0
2017-02,2876941.0
2017-03,2145773.0
2017-04,2081609.0
2017-05,1895802.0
2017-06,2066599.0
2017-07,2302761.0
2017-08,2134615.0
2017-09,2179139.0
2017-10,1936848.0
2017-11,2069205.0
2017-12,2467406.0
2018-01,2731789.0
2018-02,2830869.0
2018-03,2149696.0
2018-04,2090571.0
2018-05,1925024.0
2018-06,2085827.0
2018-07,2280789.0
2018-08,2887692.0
2018-09,2186400.0
2018-10,1786411.0
2018-11,2009834.0
2018-12,2395411.0
2019-01,2685957.0
2019-02,2548846.0
2019-03,2105849.0
2019-04,2077245.0
2019-05,1759705.0
2019-06,1910641.0
2019-07,2033305.0
2019-08,2498115.0
2019-09,2203289.0
2019-10,1853053.0
2019-11,1976707.0
2019-12,2382052.0
2020-01,2672734.0
2020-02,2561234.0
2020-03,2259928.0
2020-04,2027532.0
2020-05,1806393.0
2020-06,1987402.0
2020-07,2030539.0
2020-08,2275319.0
2020-09,1781072.0
2020-10,1369814.0
2020-11,2014217.0
2020-12,2408865.0
2021-01,2787505.0
2021-02,2594502.0
2021-03,2022552.0
2021-04,1857320.0
2021-05,1608082.0
2021-06,1810278.0
2021-07,1996498.0
2021-08,2373498.0
2021-09,2025622.0
2021-10,1737893.0
2021-11,1943023.0
2021-12,2236839.0
2022-01,2691343.0
2022-02,2558813.0
2022-03,2046502.0
2022-04,1929094.0
2022-05,1645154.0
2022-06,1803666.0
2022-07,2219880.0
2022-08,2743636.0
2022-09,2388389.0
2022-10,2056380.0
2022-11,2254411.0
2022-12,2736809.0
