YYYY-MM,CTY_GAS_USQNT
2015-01,3062172.0
2015-02,2583436.0
2015-03,1953259.0
2015-04,2356148.0
2015-05,1336699.0
2015-06,971528.0
2015-07,841676.0
2015-08,911279.0
2015-09,796352.0
2015-10,814266.0
2015-11,1223107.0
2015-12,1958803.0
2016-01,2681437.0
2016-02,2788282.0
2016-03,3053166.0
2016-04,3085502.0
2016-05,1326574.0
2016-06,1100427.0
2016-07,911130.0
2016-08,937057.0
2016-09,843669.0
2016-10,957200.0
2016-11,1505965.0
2016-12,2784469.0
2017-01,3087503.0
2017-02,3055029.0
2017-03,2141744.0
2017-04,2305623.0
2017-05,1208961.0
2017-06,964551.0
2017-07,836924.0
2017-08,924029.0
2017-09,835206.0
2017-10,908702.0
2017-11,1175319.0
2017-12,2492033.0
2018-01,3133085.0
2018-02,3261989.0
2018-03,2390169.0
2018-04,2638867.0
2018-05,1531965.0
2018-06,1234097.0
2018-07,931342.0
2018-08,894892.0
2018-09,787200.0
2018-10,986294.0
2018-11,1418597.0
2018-12,2347156.0
2019-01,3005671.0
2019-02,2905889.0
2019-03,2118560.0
2019-04,2161078.0
2019-05,1411649.0
2019-06,1038322.0
2019-07,760593.0
2019-08,914037.0
2019-09,672674.0
2019-10,865433.0
2019-11,1016313.0
2019-12,1325435.0
2020-01,2152420.0
2020-02,1812647.0
2020-03,1363162.0
2020-04,1181027.0
2020-05,947412.0
2020-06,693664.0
2020-07,597171.0
2020-08,655814.0
2020-09,491800.0
2020-10,688375.0
2020-11,880062.0
2020-12,1552025.0
2021-01,2138426.0
2021-02,1869100.0
2021-03,1499451.0
2021-04,1441769.0
2021-05,828629.0
2021-06,751483.0
2021-07,754520.0
2021-08,842596.0
2021-09,687434.0
2021-10,886081.0
2021-11,941751.0
2021-12,1614651.0
2022-01,1992385.0
2022-02,1346136.0
2022-03,1868508.0
2022-04,1961773.0
2022-05,618933.0
2022-06,1195801.0
2022-07,1224243.0
2022-08,1257654.0
2022-09,1318164.0
2022-10,1094837.0
2022-11,1016944.0
2022-12,1534847.0
