YYYY-MM,CTY_GAS_USQNT
2015-01,3330674.0
2015-02,3352111.0
2015-03,2200036.0
2015-04,1776741.0
2015-05,190603.0
2015-06,118850.0
2015-07,644727.0
2015-08,1125160.0
2015-09,1535407.0
2015-10,685482.0
2015-11,181311.0
2015-12,932894.0
2016-01,2255794.0
2016-02,3381962.0
2016-03,2502546.0
2016-04,1653476.0
2016-05,213986.0
2016-06,127540.0
2016-07,650637.0
2016-08,1278908.0
2016-09,1726113.0
2016-10,694418.0
2016-11,396761.0
2016-12,1518648.0
2017-01,2659313.0
2017-02,3490742.0
2017-03,3002027.0
2017-04,2051662.0
2017-05,155930.0
2017-06,148596.0
2017-07,824603.0
2017-08,1761092.0
2017-09,1783639.0
2017-10,602865.0
2017-11,180948.0
2017-12,1457790.0
2018-01,3268721.0
2018-02,4505480.0
2018-03,3547197.0
2018-04,2124120.0
2018-05,198571.0
2018-06,130159.0
2018-07,997873.0
2018-08,2070173.0
2018-09,2232712.0
2018-10,812229.0
2018-11,278716.0
2018-12,1113710.0
2019-01,3007512.0
2019-02,3035176.0
2019-03,2528299.0
2019-04,1476761.0
2019-05,211775.0
2019-06,205894.0
2019-07,468229.0
2019-08,1606412.0
2019-09,1960835.0
2019-10,952354.0
2019-11,255209.0
2019-12,1294584.0
2020-01,2727444.0
2020-02,2824237.0
2020-03,2399712.0
2020-04,1761243.0
2020-05,318928.0
2020-06,125667.0
2020-07,891124.0
2020-08,1491391.0
2020-09,1427324.0
2020-10,1354951.0
2020-11,118106.0
2020-12,1159000.0
2021-01,3432664.0
2021-02,3846836.0
2021-03,2677010.0
2021-04,1581323.0
2021-05,309338.0
2021-06,172647.0
2021-07,1359300.0
2021-08,2482809.0
2021-09,2477169.0
2021-10,1420649.0
2021-11,1280869.0
2021-12,1185022.0
2022-01,3233652.0
2022-02,3606829.0
2022-03,2976064.0
2022-04,1970394.0
2022-05,259476.0
2022-06,225334.0
2022-07,1208821.0
2022-08,2626055.0
2022-09,2334143.0
2022-10,1190212.0
2022-11,195812.0
2022-12,1085216.0
