YYYY-MM,ELRW_USQNT
2015-01,3448050.0
2015-02,2801200.0
2015-03,2881901.0
2015-04,2511643.0
2015-05,2969755.0
2015-06,3365783.0
2015-07,3122933.0
2015-08,3284234.0
2015-09,2723018.0
2015-10,3167552.0
2015-11,3301901.0
2015-12,3139709.0
2016-01,3395474.0
2016-02,2963334.0
2016-03,2879438.0
2016-04,2355587.0
2016-05,2470698.0
2016-06,2779432.0
2016-07,3321685.0
2016-08,3480430.0
2016-09,2727110.0
2016-10,2624164.0
2016-11,2809784.0
2016-12,3174412.0
2017-01,3422884.0
2017-02,3022663.0
2017-03,2855375.0
2017-04,2305996.0
2017-05,2415840.0
2017-06,2859271.0
2017-07,3379536.0
2017-08,12191.0
2017-09,12292.0
2017-10,2610700.0
2017-11,3527269.0
2017-12,3926102.0
2018-01,3866046.0
2018-02,3036721.0
2018-03,3575068.0
2018-04,2706868.0
2018-05,3000739.0
2018-06,4084275.0
2018-07,4275390.0
2018-08,3611835.0
2018-09,2501190.0
2018-10,2508220.0
2018-11,3097971.0
2018-12,3247043.0
2019-01,3472567.0
2019-02,2977275.0
2019-03,2578221.0
2019-04,2920527.0
2019-05,2620117.0
2019-06,2592033.0
2019-07,3331356.0
2019-08,3243702.0
2019-09,2704680.0
2019-10,2568687.0
2019-11,2887588.0
2019-12,3049506.0
2020-01,2860525.0
2020-02,2552244.0
2020-03,2500962.0
2020-04,2148382.0
2020-05,2147135.0
2020-06,3306744.0
2020-07,2983068.0
2020-08,3170381.0
2020-09,2569223.0
2020-10,3282507.0
2020-11,2642059.0
2020-12,2956306.0
2021-01,3230182.0
2021-02,2585048.0
2021-03,3054636.0
2021-04,2895634.0
2021-05,3026684.0
2021-06,3060451.0
2021-07,3360088.0
2021-08,3137566.0
2021-09,2877139.0
2021-10,3096559.0
2021-11,3603914.0
2021-12,3138166.0
2022-01,3486600.0
2022-02,3386875.0
2022-03,3303976.0
2022-04,2628930.0
2022-05,2266799.0
2022-06,2664199.0
2022-07,4032606.0
2022-08,3292214.0
2022-09,2550021.0
2022-10,2273164.0
2022-11,2907212.0
2022-12,3273016.0
