YYYY-MM,CTY_GAS_USQNT
2015-01,6233740.0
2015-02,6041721.0
2015-03,2970819.0
2015-04,4856079.0
2015-05,3372801.0
2015-06,2630040.0
2015-07,2974823.0
2015-08,4351943.0
2015-09,4373123.0
2015-10,2969962.0
2015-11,3000701.0
2015-12,3309120.0
2016-01,5471552.0
2016-02,6328760.0
2016-03,5688925.0
2016-04,4763144.0
2016-05,3050333.0
2016-06,2965996.0
2016-07,1654987.0
2016-08,1841189.0
2016-09,5294487.0
2016-10,3309588.0
2016-11,2923604.0
2016-12,4068178.0
2017-01,4847786.0
2017-02,5679994.0
2017-03,7856309.0
2017-04,3690688.0
2017-05,2261703.0
2017-06,7791512.0
2017-07,3998735.0
2017-08,5999229.0
2017-09,6158278.0
2017-10,4263272.0
2017-11,4064707.0
2017-12,6167060.0
2018-01,7937883.0
2018-02,9618231.0
2018-03,8025492.0
2018-04,5687729.0
2018-05,3562836.0
2018-06,3473183.0
2018-07,3429656.0
2018-08,5227580.0
2018-09,5263600.0
2018-10,3574781.0
2018-11,4405869.0
2018-12,4390798.0
2019-01,8177648.0
2019-02,10463647.0
2019-03,8317382.0
2019-04,6909881.0
2019-05,5393323.0
2019-06,4272077.0
2019-07,3918761.0
2019-08,5645475.0
2019-09,6661832.0
2019-10,5104247.0
2019-11,5044861.0
2019-12,3208010.0
2020-01,9571175.0
2020-02,9811139.0
2020-03,8205224.0
2020-04,6591982.0
2020-05,5306781.0
2020-06,4069945.0
2020-07,5252699.0
2020-08,5182070.0
2020-09,5012588.0
2020-10,4973694.0
2020-11,5434702.0
2020-12,6997279.0
2021-01,11221882.0
2021-02,12201627.0
2021-03,8941227.0
2021-04,7321170.0
2021-05,5610886.0
2021-06,4983426.0
2021-07,6353715.0
2021-08,6610431.0
2021-09,6322124.0
2021-10,5754493.0
2021-11,6406493.0
2021-12,7989204.0
2022-01,10527339.0
2022-02,12014907.0
2022-03,10092522.0
2022-04,8855521.0
2022-05,5328440.0
2022-06,5120708.0
2022-07,7350645.0
2022-08,9092042.0
2022-09,8719238.0
2022-10,7015119.0
2022-11,6367340.0
2022-12,8322402.0
