YYYY-MM,CTY_GAS_USQNT
2015-01,2935518.0
2015-02,2655516.0
2015-03,2065728.0
2015-04,1881281.0
2015-05,775669.0
2015-06,253745.0
2015-07,927847.0
2015-08,1504070.0
2015-09,1666069.0
2015-10,793451.0
2015-11,392150.0
2015-12,821943.0
2016-01,2443943.0
2016-02,3104823.0
2016-03,2633107.0
2016-04,2097493.0
2016-05,930509.0
2016-06,875110.0
2016-07,1872539.0
2016-08,1578176.0
2016-09,2913710.0
2016-10,1341671.0
2016-11,1092085.0
2016-12,1722639.0
2017-01,2910141.0
2017-02,3076005.0
2017-03,2722016.0
2017-04,2060760.0
2017-05,1190904.0
2017-06,885461.0
2017-07,1592279.0
2017-08,2120338.0
2017-09,2432656.0
2017-10,1307168.0
2017-11,991597.0
2017-12,1526008.0
2018-01,2559730.0
2018-02,3392082.0
2018-03,3238749.0
2018-04,1969893.0
2018-05,1601492.0
2018-06,1397343.0
2018-07,944162.0
2018-08,2248954.0
2018-09,2604325.0
2018-10,1550938.0
2018-11,1391361.0
2018-12,2606440.0
2019-01,4126035.0
2019-02,4995779.0
2019-03,3834491.0
2019-04,2727330.0
2019-05,1919965.0
2019-06,1386831.0
2019-07,1649468.0
2019-08,2330330.0
2019-09,2505843.0
2019-10,1790053.0
2019-11,1463720.0
2019-12,1113144.0
2020-01,3788394.0
2020-02,4207470.0
2020-03,3614741.0
2020-04,2956804.0
2020-05,2160400.0
2020-06,1499866.0
2020-07,1866260.0
2020-08,2060845.0
2020-09,1318772.0
2020-10,1799037.0
2020-11,1438466.0
2020-12,2454606.0
2021-01,4409915.0
2021-02,5059309.0
2021-03,3823255.0
2021-04,2398816.0
2021-05,1714355.0
2021-06,1388795.0
2021-07,1869426.0
2021-08,2557170.0
2021-09,2394390.0
2021-10,1789810.0
2021-11,1598198.0
2021-12,2405923.0
2022-01,4282448.0
2022-02,4830107.0
2022-03,4309209.0
2022-04,3086896.0
2022-05,1731347.0
2022-06,1396943.0
2022-07,2100265.0
2022-08,2451180.0
2022-09,2385248.0
2022-10,1787082.0
2022-11,1491325.0
2022-12,1905429.0
