YYYY-MM,ELRW_USQNT
2015-01,2558512.0
2015-02,2249175.0
2015-03,2273343.0
2015-04,2110156.0
2015-05,2060318.0
2015-06,2281518.0
2015-07,2593983.0
2015-08,2554598.0
2015-09,2132737.0
2015-10,1988344.0
2015-11,1932575.0
2015-12,2211441.0
2016-01,2341999.0
2016-02,2083035.0
2016-03,1959803.0
2016-04,1280013.0
2016-05,1240022.0
2016-06,1545955.0
2016-07,1852061.0
2016-08,2019081.0
2016-09,1515215.0
2016-10,1401956.0
2016-11,1529875.0
2016-12,1906695.0
2017-01,1962156.0
2017-02,1774423.0
2017-03,1522995.0
2017-04,1284322.0
2017-05,1313726.0
2017-06,1495861.0
2017-07,1795398.0
2017-08,1787401.0
2017-09,1485385.0
2017-10,1668401.0
2017-11,1993244.0
2017-12,2467234.0
2018-01,2655637.0
2018-02,2490531.0
2018-03,2088488.0
2018-04,1785708.0
2018-05,1674211.0
2018-06,2029426.0
2018-07,2326125.0
2018-08,2705078.0
2018-09,2305696.0
2018-10,1834305.0
2018-11,2032234.0
2018-12,2497846.0
2019-01,2694086.0
2019-02,2386431.0
2019-03,2120770.0
2019-04,1984247.0
2019-05,1974950.0
2019-06,2086217.0
2019-07,2247043.0
2019-08,2759573.0
2019-09,2548896.0
2019-10,2098776.0
2019-11,10415950.0
2019-12,2391557.0
2020-01,2500657.0
2020-02,2412227.0
2020-03,2212665.0
2020-04,2003555.0
2020-05,1974691.0
2020-06,2374562.0
2020-07,2537720.0
2020-08,2692573.0
2020-09,2573880.0
2020-10,2009906.0
2020-11,10697843.0
2020-12,2767432.0
2021-01,3040557.0
2021-02,2656825.0
2021-03,2373966.0
2021-04,2131205.0
2021-05,2135699.0
2021-06,2491811.0
2021-07,2895269.0
2021-08,3083434.0
2021-09,2718533.0
2021-10,2419011.0
2021-11,2387476.0
2021-12,2869096.0
2022-01,3009351.0
2022-02,2681481.0
2022-03,2377715.0
2022-04,2145083.0
2022-05,2057521.0
2022-06,2362011.0
2022-07,2954579.0
2022-08,3010599.0
2022-09,2641277.0
2022-10,2230921.0
2022-11,2204538.0
2022-12,2819360.0
