YYYY-MM,CTY_GAS_USQNT
2015-01,7803405.0
2015-02,7190903.0
2015-03,6273697.0
2015-04,5096806.0
2015-05,3310382.0
2015-06,2053214.0
2015-07,1636223.0
2015-08,1441373.0
2015-09,1400785.0
2015-10,1650294.0
2015-11,2657966.0
2015-12,4725863.0
2016-01,6413584.0
2016-02,7165849.0
2016-03,6376023.0
2016-04,4707170.0
2016-05,2664694.0
2016-06,1826427.0
2016-07,1525466.0
2016-08,1483383.0
2016-09,1417924.0
2016-10,1654026.0
2016-11,2973690.0
2016-12,5092438.0
2017-01,6356099.0
2017-02,7135953.0
2017-03,5443946.0
2017-04,4374682.0
2017-05,2558430.0
2017-06,1659315.0
2017-07,1422169.0
2017-08,1464372.0
2017-09,1434396.0
2017-10,1501153.0
2017-11,2564560.0
2017-12,5156208.0
2018-01,6789580.0
2018-02,7091187.0
2018-03,6038513.0
2018-04,4252844.0
2018-05,2751704.0
2018-06,1827798.0
2018-07,1572535.0
2018-08,1445332.0
2018-09,1417691.0
2018-10,1740077.0
2018-11,3023932.0
2018-12,4858095.0
2019-01,6563240.0
2019-02,6513279.0
2019-03,5168003.0
2019-04,4604996.0
2019-05,3006465.0
2019-06,1863464.0
2019-07,1562644.0
2019-08,1521638.0
2019-09,1052317.0
2019-10,1475976.0
2019-11,3018220.0
2019-12,886675.0
2020-01,6211913.0
2020-02,6141441.0
2020-03,5233253.0
2020-04,4158500.0
2020-05,2988652.0
2020-06,1762826.0
2020-07,1597964.0
2020-08,1535410.0
2020-09,610654.0
2020-10,725377.0
2020-11,3253163.0
2020-12,5107977.0
2021-01,8025518.0
2021-02,7549439.0
2021-03,5960457.0
2021-04,4423075.0
2021-05,2991848.0
2021-06,1994750.0
2021-07,1627430.0
2021-08,1546583.0
2021-09,1356149.0
2021-10,1506854.0
2021-11,3042893.0
2021-12,5107235.0
2022-01,7382444.0
2022-02,7599113.0
2022-03,6512294.0
2022-04,4983866.0
2022-05,2821394.0
2022-06,1858926.0
2022-07,1547934.0
2022-08,1439010.0
2022-09,1372039.0
2022-10,1669919.0
2022-11,2802795.0
2022-12,4698690.0
