YYYY-MM,CTY_GAS_USQNT
2015-01,71848.0
2015-02,60875.0
2015-03,50143.0
2015-04,42325.0
2015-05,43035.0
2015-06,32194.0
2015-07,29912.0
2015-08,28941.0
2015-09,25148.0
2015-10,25922.0
2015-11,38334.0
2015-12,45007.0
2016-01,57474.0
2016-02,65571.0
2016-03,48419.0
2016-04,44241.0
2016-05,33003.0
2016-06,28353.0
2016-07,28470.0
2016-08,33158.0
2016-09,28418.0
2016-10,23297.0
2016-11,35547.0
2016-12,44293.0
2017-01,51929.0
2017-02,53955.0
2017-03,33978.0
2017-04,34774.0
2017-05,24038.0
2017-06,18119.0
2017-07,16166.0
2017-08,15765.0
2017-09,16095.0
2017-10,14983.0
2017-11,26138.0
2017-12,42917.0
2018-01,56362.0
2018-02,53999.0
2018-03,42574.0
2018-04,30816.0
2018-05,21359.0
2018-06,16399.0
2018-07,14035.0
2018-08,16862.0
2018-09,16707.0
2018-10,13985.0
2018-11,21578.0
2018-12,29895.0
2019-01,38394.0
2019-02,38084.0
2019-03,31705.0
2019-04,29034.0
2019-05,26790.0
2019-06,21469.0
2019-07,17452.0
2019-08,20077.0
2019-09,18371.0
2019-10,16301.0
2019-11,29035.0
2019-12,29601.0
2020-01,53448.0
2020-02,52186.0
2020-03,37498.0
2020-04,31325.0
2020-05,30413.0
2020-06,22924.0
2020-07,24868.0
2020-08,25690.0
2020-09,23513.0
2020-10,19096.0
2020-11,37009.0
2020-12,45787.0
2021-01,55149.0
2021-02,59535.0
2021-03,46065.0
2021-04,48283.0
2021-05,34719.0
2021-06,26568.0
2021-07,27619.0
2021-08,25101.0
2021-09,16215.0
2021-10,23353.0
2021-11,39373.0
2021-12,49327.0
2022-01,55941.0
2022-02,49950.0
2022-03,43006.0
2022-04,38742.0
2022-05,30511.0
2022-06,21994.0
2022-07,18251.0
2022-08,21284.0
2022-09,11331.0
2022-10,25784.0
2022-11,32265.0
2022-12,35889.0
