YYYY-MM,CTY_GAS_USQNT
2015-01,334964.0
2015-02,304343.0
2015-03,313093.0
2015-04,346255.0
2015-05,222503.0
2015-06,104676.0
2015-07,112094.0
2015-08,145343.0
2015-09,133160.0
2015-10,106535.0
2015-11,105327.0
2015-12,185859.0
2016-01,351538.0
2016-02,322484.0
2016-03,270260.0
2016-04,335589.0
2016-05,178887.0
2016-06,104414.0
2016-07,105289.0
2016-08,128372.0
2016-09,122098.0
2016-10,115325.0
2016-11,105009.0
2016-12,228169.0
2017-01,292777.0
2017-02,282683.0
2017-03,203264.0
2017-04,128473.0
2017-05,100320.0
2017-06,44573.0
2017-07,42972.0
2017-08,78738.0
2017-09,98538.0
2017-10,37109.0
2017-11,61419.0
2017-12,151895.0
2018-01,174508.0
2018-02,224589.0
2018-03,181327.0
2018-04,122982.0
2018-05,96652.0
2018-06,60136.0
2018-07,41078.0
2018-08,40524.0
2018-09,37041.0
2018-10,39959.0
2018-11,75791.0
2018-12,144596.0
2019-01,161205.0
2019-02,203550.0
2019-03,155081.0
2019-04,119213.0
2019-05,104919.0
2019-06,73268.0
2019-07,55812.0
2019-08,51382.0
2019-09,49210.0
2019-10,50919.0
2019-11,82104.0
2019-12,0.0
2020-01,142240.0
2020-02,157096.0
2020-03,145908.0
2020-04,111362.0
2020-05,121221.0
2020-06,69797.0
2020-07,62454.0
2020-08,54629.0
2020-09,53714.0
2020-10,100680.0
2020-11,116373.0
2020-12,134260.0
2021-01,212805.0
2021-02,306256.0
2021-03,160626.0
2021-04,161630.0
2021-05,143719.0
2021-06,102120.0
2021-07,111586.0
2021-08,127671.0
2021-09,43728.0
2021-10,96403.0
2021-11,89803.0
2021-12,117678.0
2022-01,188203.0
2022-02,222195.0
2022-03,249329.0
2022-04,154335.0
2022-05,76083.0
2022-06,101509.0
2022-07,82348.0
2022-08,106889.0
2022-09,121781.0
2022-10,87761.0
2022-11,73145.0
2022-12,76079.0
