YYYY-MM,ELRW_USQNT
2015-01,86232.0
2015-02,78644.0
2015-03,68436.0
2015-04,70091.0
2015-05,62318.0
2015-06,90419.0
2015-07,110485.0
2015-08,138962.0
2015-09,122752.0
2015-10,92683.0
2015-11,79316.0
2015-12,83031.0
2016-01,94583.0
2016-02,95639.0
2016-03,82092.0
2016-04,79414.0
2016-05,66521.0
2016-06,70317.0
2016-07,92070.0
2016-08,134498.0
2016-09,113273.0
2016-10,89381.0
2016-11,73210.0
2016-12,86701.0
2017-01,94612.0
2017-02,103304.0
2017-03,2251.0
2017-04,1581.0
2017-05,1538.0
2017-06,1716.0
2017-07,1987.0
2017-08,3267.0
2017-09,3678.0
2017-10,43678.0
2017-11,44954.0
2017-12,57822.0
2018-01,67313.0
2018-02,71557.0
2018-03,53028.0
2018-04,45490.0
2018-05,42677.0
2018-06,51319.0
2018-07,57861.0
2018-08,92726.0
2018-09,73651.0
2018-10,45225.0
2018-11,46950.0
2018-12,55260.0
2019-01,71929.0
2019-02,69229.0
2019-03,64649.0
2019-04,60479.0
2019-05,49781.0
2019-06,53645.0
2019-07,62967.0
2019-08,86464.0
2019-09,79908.0
2019-10,58208.0
2019-11,55078.0
2019-12,75308.0
2020-01,25298.0
2020-02,24424.0
2020-03,20723.0
2020-04,16242.0
2020-05,13561.0
2020-06,15198.0
2020-07,16923.0
2020-08,17804.0
2020-09,21140.0
2020-10,13203.0
2020-11,15506.0
2020-12,25582.0
2021-01,32801.0
2021-02,31022.0
2021-03,19923.0
2021-04,16095.0
2021-05,12734.0
2021-06,17259.0
2021-07,19216.0
2021-08,19413.0
2021-09,15062.0
2021-10,10232.0
2021-11,13108.0
2021-12,24500.0
2022-01,35473.0
2022-02,35425.0
2022-03,26336.0
2022-04,21671.0
2022-05,16092.0
2022-06,18942.0
2022-07,23362.0
2022-08,16562.0
2022-09,13661.0
2022-10,11860.0
2022-11,12435.0
2022-12,19479.0
