YYYY-MM,CTY_GAS_USQNT
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,0.0
2015-06,215.0
2015-07,2990.0
2015-08,2417.0
2015-09,2245.0
2015-10,7016.0
2015-11,17787.0
2015-12,22785.0
2016-01,25868.0
2016-02,23141.0
2016-03,20604.0
2016-04,18804.0
2016-05,14131.0
2016-06,14534.0
2016-07,10630.0
2016-08,10022.0
2016-09,10069.0
2016-10,8210.0
2016-11,9858.0
2016-12,14057.0
2017-01,13168.0
2017-02,14518.0
2017-03,18134.0
2017-04,12961.0
2017-05,13152.0
2017-06,11627.0
2017-07,9607.0
2017-08,10055.0
2017-09,7726.0
2017-10,7320.0
2017-11,13105.0
2017-12,11714.0
2018-01,12811.0
2018-02,12442.0
2018-03,13397.0
2018-04,12670.0
2018-05,15100.0
2018-06,11369.0
2018-07,9680.0
2018-08,8727.0
2018-09,9811.0
2018-10,9850.0
2018-11,13583.0
2018-12,12523.0
2019-01,18257.0
2019-02,13028.0
2019-03,12139.0
2019-04,16182.0
2019-05,17162.0
2019-06,12648.0
2019-07,10823.0
2019-08,10826.0
2019-09,10858.0
2019-10,10979.0
2019-11,11743.0
2019-12,1790.0
2020-01,20244.0
2020-02,20410.0
2020-03,11050.0
2020-04,26640.0
2020-05,24437.0
2020-06,23326.0
2020-07,21704.0
2020-08,22426.0
2020-09,22178.0
2020-10,93218.0
2020-11,78785.0
2020-12,48305.0
2021-01,82476.0
2021-02,110018.0
2021-03,72052.0
2021-04,71925.0
2021-05,58526.0
2021-06,68612.0
2021-07,93244.0
2021-08,108508.0
2021-09,114984.0
2021-10,91104.0
2021-11,78310.0
2021-12,68608.0
2022-01,83882.0
2022-02,89461.0
2022-03,91598.0
2022-04,82444.0
2022-05,39694.0
2022-06,105593.0
2022-07,84402.0
2022-08,104191.0
2022-09,112022.0
2022-10,97631.0
2022-11,9709066.0
2022-12,52680.0
