YYYY-MM,CTY_GAS_USQNT
2015-01,361218.0
2015-02,319368.0
2015-03,289987.0
2015-04,276603.0
2015-05,207207.0
2015-06,160877.0
2015-07,219619.0
2015-08,248983.0
2015-09,234940.0
2015-10,195606.0
2015-11,173562.0
2015-12,222227.0
2016-01,292749.0
2016-02,311259.0
2016-03,318077.0
2016-04,255217.0
2016-05,176701.0
2016-06,158138.0
2016-07,211627.0
2016-08,236126.0
2016-09,242974.0
2016-10,190218.0
2016-11,214819.0
2016-12,275454.0
2017-01,379934.0
2017-02,377237.0
2017-03,253356.0
2017-04,232596.0
2017-05,166891.0
2017-06,158791.0
2017-07,192213.0
2017-08,264397.0
2017-09,226108.0
2017-10,169133.0
2017-11,172527.0
2017-12,213143.0
2018-01,287645.0
2018-02,301492.0
2018-03,273375.0
2018-04,223066.0
2018-05,152794.0
2018-06,155011.0
2018-07,193291.0
2018-08,251371.0
2018-09,240519.0
2018-10,180775.0
2018-11,159955.0
2018-12,193047.0
2019-01,286737.0
2019-02,255825.0
2019-03,235211.0
2019-04,226183.0
2019-05,174690.0
2019-06,152370.0
2019-07,189930.0
2019-08,229417.0
2019-09,222810.0
2019-10,197615.0
2019-11,155564.0
2019-12,94426.0
2020-01,277336.0
2020-02,234196.0
2020-03,241946.0
2020-04,188236.0
2020-05,152147.0
2020-06,130187.0
2020-07,204484.0
2020-08,213275.0
2020-09,120974.0
2020-10,90693.0
2020-11,157513.0
2020-12,185647.0
2021-01,290688.0
2021-02,289108.0
2021-03,237019.0
2021-04,206001.0
2021-05,146629.0
2021-06,136081.0
2021-07,189234.0
2021-08,248372.0
2021-09,222725.0
2021-10,163786.0
2021-11,163813.0
2021-12,185091.0
2022-01,266269.0
2022-02,266758.0
2022-03,249851.0
2022-04,207370.0
2022-05,152261.0
2022-06,139327.0
2022-07,179421.0
2022-08,256293.0
2022-09,205272.0
2022-10,333480.0
2022-11,519485.0
2022-12,833067.0
