YYYY-MM,CTY_GAS_USQNT
2015-01,560429.0
2015-02,727138.0
2015-03,386286.0
2015-04,781097.0
2015-05,338532.0
2015-06,565051.0
2015-07,243290.0
2015-08,555407.0
2015-09,235912.0
2015-10,590184.0
2015-11,315865.0
2015-12,713922.0
2016-01,582480.0
2016-02,785737.0
2016-03,471187.0
2016-04,801617.0
2016-05,359314.0
2016-06,573702.0
2016-07,317806.0
2016-08,571750.0
2016-09,259500.0
2016-10,562648.0
2016-11,368134.0
2016-12,830792.0
2017-01,663149.0
2017-02,871524.0
2017-03,310578.0
2017-04,671798.0
2017-05,309615.0
2017-06,510133.0
2017-07,278868.0
2017-08,576301.0
2017-09,289005.0
2017-10,519952.0
2017-11,272011.0
2017-12,615931.0
2018-01,483833.0
2018-02,590207.0
2018-03,318403.0
2018-04,642173.0
2018-05,327532.0
2018-06,536049.0
2018-07,327760.0
2018-08,532351.0
2018-09,248841.0
2018-10,547552.0
2018-11,304653.0
2018-12,619880.0
2019-01,469622.0
2019-02,548073.0
2019-03,308333.0
2019-04,588496.0
2019-05,343732.0
2019-06,486374.0
2019-07,295360.0
2019-08,501806.0
2019-09,227761.0
2019-10,509697.0
2019-11,289862.0
2019-12,304668.0
2020-01,448394.0
2020-02,1159851.0
2020-03,851309.0
2020-04,937020.0
2020-05,548174.0
2020-06,571848.0
2020-07,403818.0
2020-08,605769.0
2020-09,102440.0
2020-10,153966.0
2020-11,510669.0
2020-12,997282.0
2021-01,1204157.0
2021-02,1382105.0
2021-03,887685.0
2021-04,984897.0
2021-05,563220.0
2021-06,631658.0
2021-07,455803.0
2021-08,595411.0
2021-09,328585.0
2021-10,636494.0
2021-11,582731.0
2021-12,1106209.0
2022-01,1349019.0
2022-02,1413553.0
2022-03,1071372.0
2022-04,1199276.0
2022-05,672797.0
2022-06,665324.0
2022-07,561120.0
2022-08,643411.0
2022-09,440987.0
2022-10,693734.0
2022-11,652833.0
2022-12,1074655.0
