YYYY-MM,ELRW_USQNT
2015-01,3134663.0
2015-02,3077352.0
2015-03,2679487.0
2015-04,2779669.0
2015-05,2607264.0
2015-06,2711561.0
2015-07,2729996.0
2015-08,3335786.0
2015-09,2813444.0
2015-10,2607564.0
2015-11,2761453.0
2015-12,2886490.0
2016-01,3077449.0
2016-02,3164568.0
2016-03,2792888.0
2016-04,2750092.0
2016-05,2604358.0
2016-06,2736225.0
2016-07,2800778.0
2016-08,3592115.0
2016-09,2884721.0
2016-10,2463053.0
2016-11,2601907.0
2016-12,2695779.0
2017-01,2887943.0
2017-02,2964508.0
2017-03,2214818.0
2017-04,2296457.0
2017-05,2150956.0
2017-06,1864772.0
2017-07,2502250.0
2017-08,2948407.0
2017-09,2578693.0
2017-10,2387831.0
2017-11,2489952.0
2017-12,2703268.0
2018-01,2893109.0
2018-02,2993629.0
2018-03,2487019.0
2018-04,2539197.0
2018-05,2392513.0
2018-06,2558467.0
2018-07,2741200.0
2018-08,3947071.0
2018-09,2981354.0
2018-10,2418806.0
2018-11,2344496.0
2018-12,2595935.0
2019-01,2863948.0
2019-02,2907776.0
2019-03,2526112.0
2019-04,2617908.0
2019-05,2445185.0
2019-06,2518426.0
2019-07,2567596.0
2019-08,3183348.0
2019-09,3341007.0
2019-10,2556552.0
2019-11,2491972.0
2019-12,2560689.0
2020-01,2669695.0
2020-02,2872761.0
2020-03,2635134.0
2020-04,2658868.0
2020-05,2514959.0
2020-06,2680141.0
2020-07,2752817.0
2020-08,2990149.0
2020-09,453471.0
2020-10,344773.0
2020-11,2631469.0
2020-12,2768912.0
2021-01,3090536.0
2021-02,3091981.0
2021-03,2598938.0
2021-04,2710477.0
2021-05,2576766.0
2021-06,2725736.0
2021-07,2900154.0
2021-08,3988313.0
2021-09,3405601.0
2021-10,2712545.0
2021-11,2705211.0
2021-12,2757375.0
2022-01,3052884.0
2022-02,3086582.0
2022-03,2701421.0
2022-04,2771802.0
2022-05,2530393.0
2022-06,2665194.0
2022-07,3198268.0
2022-08,3915933.0
2022-09,3664003.0
2022-10,3323562.0
2022-11,3251171.0
2022-12,3350353.0
