YYYY-MM,ELRW_USQNT
2015-01,109470.0
2015-02,108435.0
2015-03,90163.0
2015-04,93184.0
2015-05,85387.0
2015-06,84138.0
2015-07,84557.0
2015-08,97331.0
2015-09,87135.0
2015-10,86149.0
2015-11,100016.0
2015-12,105933.0
2016-01,54774.0
2016-02,57188.0
2016-03,47736.0
2016-04,45105.0
2016-05,41664.0
2016-06,39462.0
2016-07,45536.0
2016-08,54007.0
2016-09,45830.0
2016-10,44239.0
2016-11,47316.0
2016-12,52187.0
2017-01,57189.0
2017-02,58024.0
2017-03,22056.0
2017-04,21668.0
2017-05,20139.0
2017-06,20373.0
2017-07,10749.0
2017-08,11907.0
2017-09,9354.0
2017-10,9611.0
2017-11,12174.0
2017-12,17462.0
2018-01,20153.0
2018-02,23944.0
2018-03,15257.0
2018-04,12372.0
2018-05,11611.0
2018-06,10724.0
2018-07,11851.0
2018-08,19262.0
2018-09,15198.0
2018-10,13799.0
2018-11,17556.0
2018-12,25999.0
2019-01,31868.0
2019-02,29070.0
2019-03,20798.0
2019-04,19302.0
2019-05,12172.0
2019-06,11563.0
2019-07,13564.0
2019-08,17137.0
2019-09,12709.0
2019-10,13820.0
2019-11,19198.0
2019-12,24133.0
2020-01,23868.0
2020-02,21408.0
2020-03,15988.0
2020-04,14025.0
2020-05,14389.0
2020-06,14161.0
2020-07,12729.0
2020-08,13723.0
2020-09,13158.0
2020-10,12275.0
2020-11,16789.0
2020-12,21205.0
2021-01,21876.0
2021-02,19086.0
2021-03,13767.0
2021-04,12088.0
2021-05,11059.0
2021-06,12472.0
2021-07,13170.0
2021-08,15414.0
2021-09,13886.0
2021-10,14061.0
2021-11,18000.0
2021-12,22725.0
2022-01,28762.0
2022-02,27586.0
2022-03,19149.0
2022-04,15484.0
2022-05,15940.0
2022-06,15563.0
2022-07,17503.0
2022-08,18317.0
2022-09,15457.0
2022-10,14381.0
2022-11,16842.0
2022-12,24306.0
