YYYY-MM,ELRW_USQNT
2015-01,125518.0
2015-02,112169.0
2015-03,83353.0
2015-04,71842.0
2015-05,57184.0
2015-06,56879.0
2015-07,59104.0
2015-08,67829.0
2015-09,62103.0
2015-10,63625.0
2015-11,76259.0
2015-12,92705.0
2016-01,109685.0
2016-02,114233.0
2016-03,83280.0
2016-04,67458.0
2016-05,57949.0
2016-06,54432.0
2016-07,59060.0
2016-08,68012.0
2016-09,58535.0
2016-10,58937.0
2016-11,78536.0
2016-12,114467.0
2017-01,130650.0
2017-02,136525.0
2017-03,11611.0
2017-04,9554.0
2017-05,6278.0
2017-06,5238.0
2017-07,7079.0
2017-08,5993.0
2017-09,5393.0
2017-10,21203.0
2017-11,36235.0
2017-12,50485.0
2018-01,58460.0
2018-02,62039.0
2018-03,37333.0
2018-04,28782.0
2018-05,23246.0
2018-06,20409.0
2018-07,25625.0
2018-08,31998.0
2018-09,22865.0
2018-10,20350.0
2018-11,35885.0
2018-12,48333.0
2019-01,57655.0
2019-02,52614.0
2019-03,37271.0
2019-04,32095.0
2019-05,21848.0
2019-06,19414.0
2019-07,19686.0
2019-08,30026.0
2019-09,21346.0
2019-10,20042.0
2019-11,30625.0
2019-12,45817.0
2020-01,15577.0
2020-02,16202.0
2020-03,11983.0
2020-04,10027.0
2020-05,7125.0
2020-06,5806.0
2020-07,5459.0
2020-08,7617.0
2020-09,5565.0
2020-10,6681.0
2020-11,10430.0
2020-12,13168.0
2021-01,16763.0
2021-02,14285.0
2021-03,10671.0
2021-04,9594.0
2021-05,7909.0
2021-06,7449.0
2021-07,7737.0
2021-08,7840.0
2021-09,6325.0
2021-10,6906.0
2021-11,8928.0
2021-12,12469.0
2022-01,14372.0
2022-02,13468.0
2022-03,8460.0
2022-04,7050.0
2022-05,5606.0
2022-06,5369.0
2022-07,7531.0
2022-08,7555.0
2022-09,6537.0
2022-10,8956.0
2022-11,10799.0
2022-12,14420.0
