YYYY-MM,CTY_GAS_USQNT
2015-01,5029287.0
2015-02,4143553.0
2015-03,3990086.0
2015-04,2840217.0
2015-05,2277556.0
2015-06,1204534.0
2015-07,1278418.0
2015-08,775446.0
2015-09,1102365.0
2015-10,940310.0
2015-11,1896413.0
2015-12,2498075.0
2016-01,4005662.0
2016-02,4148670.0
2016-03,3794161.0
2016-04,2581829.0
2016-05,1817254.0
2016-06,1006792.0
2016-07,1242676.0
2016-08,735763.0
2016-09,975394.0
2016-10,891878.0
2016-11,2050016.0
2016-12,2911401.0
2017-01,4108470.0
2017-02,4127541.0
2017-03,2200827.0
2017-04,1510253.0
2017-05,1212061.0
2017-06,592675.0
2017-07,825896.0
2017-08,969839.0
2017-09,1229243.0
2017-10,455385.0
2017-11,1161866.0
2017-12,1716841.0
2018-01,2727257.0
2018-02,2357174.0
2018-03,2412705.0
2018-04,1409639.0
2018-05,1223211.0
2018-06,585997.0
2018-07,803246.0
2018-08,476722.0
2018-09,664150.0
2018-10,545614.0
2018-11,1234114.0
2018-12,1494805.0
2019-01,2619610.0
2019-02,2068863.0
2019-03,2081092.0
2019-04,1456975.0
2019-05,2219636.0
2019-06,1173151.0
2019-07,1206476.0
2019-08,804520.0
2019-09,965279.0
2019-10,1010846.0
2019-11,2009214.0
2019-12,185076.0
2020-01,4748112.0
2020-02,4360303.0
2020-03,3857715.0
2020-04,2811640.0
2020-05,2230740.0
2020-06,1095666.0
2020-07,1181009.0
2020-08,850115.0
2020-09,162508.0
2020-10,168605.0
2020-11,2348014.0
2020-12,3406897.0
2021-01,5768098.0
2021-02,4649246.0
2021-03,3767401.0
2021-04,2553271.0
2021-05,1976408.0
2021-06,1098906.0
2021-07,1121497.0
2021-08,733691.0
2021-09,931188.0
2021-10,833703.0
2021-11,2271591.0
2021-12,3227270.0
2022-01,5204066.0
2022-02,4787004.0
2022-03,4079884.0
2022-04,2841769.0
2022-05,1823441.0
2022-06,1029984.0
2022-07,1050814.0
2022-08,749872.0
2022-09,890460.0
2022-10,924676.0
2022-11,2053080.0
2022-12,3044355.0
