YYYY-MM,CTY_GAS_USQNT
2015-01,1972059.0
2015-02,1817083.0
2015-03,1370097.0
2015-04,1190633.0
2015-05,592312.0
2015-06,244328.0
2015-07,289630.0
2015-08,332051.0
2015-09,332391.0
2015-10,229010.0
2015-11,387208.0
2015-12,911656.0
2016-01,1750021.0
2016-02,1899345.0
2016-03,1628346.0
2016-04,1278745.0
2016-05,521838.0
2016-06,296368.0
2016-07,213975.0
2016-08,356140.0
2016-09,537713.0
2016-11,446620.0
2016-12,1297470.0
2017-01,1571618.0
2017-02,2005737.0
2017-03,1891501.0
2017-04,1400360.0
2017-05,570906.0
2017-06,241036.0
2017-07,324592.0
2017-08,583968.0
2017-09,637262.0
2017-10,291967.0
2017-11,372699.0
2017-12,1110652.0
2018-01,1939968.0
2018-02,2563178.0
2018-03,1954064.0
2018-04,1439636.0
2018-05,525224.0
2018-06,302548.0
2018-07,344204.0
2018-08,697247.0
2018-09,721827.0
2018-10,316208.0
2018-11,527567.0
2018-12,1038064.0
2019-01,2067429.0
2019-02,2445467.0
2019-03,2012557.0
2019-04,1250287.0
2019-05,705365.0
2019-06,370487.0
2019-07,379227.0
2019-08,516339.0
2019-09,753288.0
2019-10,376018.0
2019-11,393824.0
2020-01,1592283.0
2020-02,1994908.0
2020-03,1848460.0
2020-04,1378849.0
2020-05,809822.0
2020-06,350580.0
2020-07,466813.0
2020-08,466468.0
2020-09,645582.0
2020-10,464365.0
2020-11,4951.0
2020-12,1439815.0
2021-01,1603110.0
2021-02,2669346.0
2021-03,1812934.0
2021-04,1237065.0
2021-05,538864.0
2021-06,375108.0
2021-07,431586.0
2021-08,664249.0
2021-09,671279.0
2021-10,436603.0
2021-11,548664.0
2021-12,958318.0
2022-01,1851344.0
2022-02,2308134.0
2022-03,2075987.0
2022-04,1196732.0
2022-05,4601.0
2022-06,417228.0
2022-07,470383.0
2022-08,671803.0
2022-09,707723.0
2022-10,424963.0
2022-11,426328.0
2022-12,652197.0
