YYYY-MM,CTY_GAS_USQNT
2015-01,2752686.0
2015-02,2790109.0
2015-03,2444645.0
2015-04,2199276.0
2015-05,1402922.0
2015-06,786869.0
2015-07,486350.0
2015-08,408865.0
2015-09,359037.0
2015-10,471959.0
2015-11,868262.0
2015-12,1457491.0
2016-01,2401301.0
2016-02,2738500.0
2016-03,2442793.0
2016-04,2160514.0
2016-05,1156007.0
2016-06,682553.0
2016-07,446273.0
2016-08,378729.0
2016-09,310520.0
2016-10,463344.0
2016-11,893585.0
2016-12,1739308.0
2017-01,2302550.0
2017-02,2606102.0
2017-03,1091023.0
2017-04,923023.0
2017-05,477843.0
2017-06,237512.0
2017-07,153996.0
2017-08,188200.0
2017-09,173455.0
2017-10,228743.0
2017-11,461010.0
2017-12,1032286.0
2018-01,1497548.0
2018-02,1667583.0
2018-03,1461485.0
2018-04,1010469.0
2018-05,496410.0
2018-06,280076.0
2018-07,164637.0
2018-08,145780.0
2018-09,104328.0
2018-10,167095.0
2018-11,496037.0
2018-12,863798.0
2019-01,1326845.0
2019-02,1375223.0
2019-03,1202742.0
2019-04,974547.0
2019-05,665140.0
2019-06,342050.0
2019-07,204456.0
2019-08,170995.0
2019-09,120539.0
2019-10,175717.0
2019-11,423326.0
2019-12,274121.0
2020-01,1226434.0
2020-02,1235825.0
2020-03,1096762.0
2020-04,1086740.0
2020-05,687580.0
2020-06,311921.0
2020-07,214931.0
2020-08,180971.0
2020-09,133778.0
2020-10,200517.0
2020-11,514257.0
2020-12,862231.0
2021-01,1136283.0
2021-02,1610384.0
2021-03,1169619.0
2021-04,947720.0
2021-05,646193.0
2021-06,422607.0
2021-07,254129.0
2021-08,180366.0
2021-09,139819.0
2021-10,193462.0
2021-11,392946.0
2021-12,1044287.0
2022-01,1540147.0
2022-02,1523899.0
2022-03,1393199.0
2022-04,1071178.0
2022-05,646172.0
2022-06,352633.0
2022-07,236361.0
2022-08,198369.0
2022-09,166470.0
2022-10,211776.0
2022-11,470790.0
2022-12,733045.0
