YYYY-MM,ELRW_USQNT
2015-01,463816.0
2015-02,435655.0
2015-03,407736.0
2015-04,382869.0
2015-05,346115.0
2015-06,368346.0
2015-07,399333.0
2015-08,445495.0
2015-09,355462.0
2015-10,334983.0
2015-11,375837.0
2015-12,440310.0
2016-01,402737.0
2016-02,384081.0
2016-03,371398.0
2016-04,342641.0
2016-05,329426.0
2016-06,359997.0
2016-07,422055.0
2016-08,502719.0
2016-09,336738.0
2016-10,321126.0
2016-11,360099.0
2016-12,383497.0
2017-01,385901.0
2017-02,367611.0
2017-03,170090.0
2017-04,164556.0
2017-05,156142.0
2017-06,161902.0
2017-07,212248.0
2017-08,30181.0
2017-09,24238.0
2017-10,188757.0
2017-11,205753.0
2017-12,248390.0
2018-01,263166.0
2018-02,253601.0
2018-03,219599.0
2018-04,208917.0
2018-05,197186.0
2018-06,212221.0
2018-07,279863.0
2018-08,335103.0
2018-09,208006.0
2018-10,179692.0
2018-11,214820.0
2018-12,249124.0
2019-01,264708.0
2019-02,241616.0
2019-03,224978.0
2019-04,220905.0
2019-05,196525.0
2019-06,208371.0
2019-07,243892.0
2019-08,306025.0
2019-09,215781.0
2019-10,185052.0
2019-11,209060.0
2019-12,234459.0
2020-01,240372.0
2020-02,228850.0
2020-03,199092.0
2020-04,185787.0
2020-05,170838.0
2020-06,199601.0
2020-07,196259.0
2020-08,281390.0
2020-09,205309.0
2020-10,204035.0
2020-11,238882.0
2020-12,275649.0
2021-01,283846.0
2021-02,248455.0
2021-03,237601.0
2021-04,210268.0
2021-05,221023.0
2021-06,245165.0
2021-07,341358.0
2021-08,342162.0
2021-09,235866.0
2021-10,214632.0
2021-11,225254.0
2021-12,261953.0
2022-01,289991.0
2022-02,262944.0
2022-03,240976.0
2022-04,219749.0
2022-05,203592.0
2022-06,237300.0
2022-07,340308.0
2022-08,358897.0
2022-09,251858.0
2022-10,221418.0
2022-11,230941.0
2022-12,278790.0
