YYYY-MM,ELRW_USQNT
2015-01,1646267.0
2015-02,1537376.0
2015-03,1343595.0
2015-04,1255984.0
2015-05,1122146.0
2015-06,1220380.0
2015-07,1373922.0
2015-08,1622488.0
2015-09,1252712.0
2015-10,1109786.0
2015-11,1258721.0
2015-12,1448209.0
2016-01,1594422.0
2016-02,1576348.0
2016-03,1390677.0
2016-04,1191461.0
2016-05,1097494.0
2016-06,1270161.0
2016-07,1621695.0
2016-08,2046177.0
2016-09,1456991.0
2016-10,1258761.0
2016-11,1390553.0
2016-12,1618214.0
2017-01,1742502.0
2017-02,1780114.0
2017-03,1168055.0
2017-04,1063391.0
2017-05,958076.0
2017-06,1057664.0
2017-07,1406465.0
2017-08,1503827.0
2017-09,1151712.0
2017-10,1125818.0
2017-11,1280146.0
2017-12,1505807.0
2018-01,1608538.0
2018-02,1620410.0
2018-03,1292428.0
2018-04,1226422.0
2018-05,1180878.0
2018-06,1285375.0
2018-07,1637981.0
2018-08,2075496.0
2018-09,1201543.0
2018-10,1025977.0
2018-11,1165849.0
2018-12,1387907.0
2019-01,1547880.0
2019-02,1427864.0
2019-03,1217577.0
2019-04,1182607.0
2019-05,1098351.0
2019-06,1210583.0
2019-07,1417695.0
2019-08,1838803.0
2019-09,1493193.0
2019-10,1202584.0
2019-11,1256498.0
2019-12,1472221.0
2020-01,1576680.0
2020-02,1487768.0
2020-03,1305832.0
2020-04,1214816.0
2020-05,1201018.0
2020-06,1379819.0
2020-07,1442394.0
2020-08,1768494.0
2020-09,679567.0
2020-10,495214.0
2020-11,1289791.0
2020-12,1501112.0
2021-01,1707027.0
2021-02,1541399.0
2021-03,1302529.0
2021-04,1236013.0
2021-05,1186972.0
2021-06,1400546.0
2021-07,1796177.0
2021-08,1979976.0
2021-09,1528355.0
2021-10,1321349.0
2021-11,1357577.0
2021-12,1534370.0
2022-01,1734594.0
2022-02,1634115.0
2022-03,1398575.0
2022-04,1277412.0
2022-05,1307391.0
2022-06,1433253.0
2022-07,1944671.0
2022-08,2343743.0
2022-09,1799744.0
2022-10,1549529.0
2022-11,1615121.0
2022-12,1965429.0
