YYYY-MM,CTY_GAS_USQNT
2015-01,3462070.0
2015-02,3570091.0
2015-03,2536374.0
2015-04,2409047.0
2015-05,1212986.0
2015-06,1239205.0
2015-07,1104559.0
2015-08,1897617.0
2015-09,1746213.0
2015-10,1560169.0
2015-11,906970.0
2015-12,1805385.0
2016-01,2689952.0
2016-02,4081624.0
2016-03,3023968.0
2016-04,2425379.0
2016-05,1113577.0
2016-06,1400728.0
2016-07,1277036.0
2016-08,2169749.0
2016-09,2339318.0
2016-10,1023182.0
2016-11,847297.0
2016-12,2166381.0
2017-01,2600905.0
2017-02,3677627.0
2017-03,2873760.0
2017-04,2079450.0
2017-05,1116277.0
2017-06,1073935.0
2017-07,1174830.0
2017-08,2090051.0
2017-09,1822267.0
2017-10,890653.0
2017-11,952616.0
2017-12,1850349.0
2018-01,3103024.0
2018-02,3534406.0
2018-03,3258762.0
2018-04,1950127.0
2018-05,1064361.0
2018-06,994720.0
2018-07,1093700.0
2018-08,1902531.0
2018-09,1989462.0
2018-10,960656.0
2018-11,1028271.0
2018-12,1612833.0
2019-01,2913672.0
2019-02,3715545.0
2019-03,2536836.0
2019-04,1786638.0
2019-05,1344912.0
2019-06,981077.0
2019-07,1145457.0
2019-08,1972136.0
2019-09,2179729.0
2019-10,592360.0
2019-11,1000467.0
2019-12,918173.0
2020-01,2861407.0
2020-02,2823493.0
2020-03,2495889.0
2020-04,1657041.0
2020-05,1333735.0
2020-06,838103.0
2020-07,1152459.0
2020-08,1713987.0
2020-09,2289381.0
2020-10,1969119.0
2020-11,948135.0
2020-12,1831523.0
2021-01,3232610.0
2021-02,4044629.0
2021-03,2675814.0
2021-04,2001694.0
2021-05,1166224.0
2021-06,990970.0
2021-07,1393748.0
2021-08,2125673.0
2021-09,1983060.0
2021-10,1232077.0
2021-11,1002828.0
2021-12,1814951.0
2022-01,3021344.0
2022-02,3881850.0
2022-03,3397067.0
2022-04,1883100.0
2022-05,1207932.0
2022-06,1000407.0
2022-07,1485503.0
2022-08,1687558.0
2022-09,2085607.0
2022-10,1127086.0
2022-11,812397.0
2022-12,1275357.0
