YYYY-MM,ELRW_USQNT
2015-01,592337.0
2015-02,531155.0
2015-03,506700.0
2015-04,425327.0
2015-05,437045.0
2015-06,420372.0
2015-07,419441.0
2015-08,445848.0
2015-09,403575.0
2015-10,397968.0
2015-11,439966.0
2015-12,523246.0
2016-01,594113.0
2016-02,565974.0
2016-03,515164.0
2016-04,435066.0
2016-05,420181.0
2016-06,426289.0
2016-07,438083.0
2016-08,433312.0
2016-09,389499.0
2016-10,399464.0
2016-11,440028.0
2016-12,514488.0
2017-01,557399.0
2017-02,517631.0
2017-03,445115.0
2017-04,380049.0
2017-05,370944.0
2017-06,375317.0
2017-07,408697.0
2017-08,411838.0
2017-09,386430.0
2017-10,384230.0
2017-11,430974.0
2017-12,503807.0
2018-01,503940.0
2018-02,443352.0
2018-03,406467.0
2018-04,375118.0
2018-05,354957.0
2018-06,340959.0
2018-07,394663.0
2018-08,423366.0
2018-09,341072.0
2018-10,348927.0
2018-11,399391.0
2018-12,475679.0
2019-01,513659.0
2019-02,451474.0
2019-03,432818.0
2019-04,388898.0
2019-05,357403.0
2019-06,351219.0
2019-07,357449.0
2019-08,386229.0
2019-09,337911.0
2019-10,330128.0
2019-11,345967.0
2019-12,419343.0
2020-01,438739.0
2020-02,389985.0
2020-03,368353.0
2020-04,342349.0
2020-05,342526.0
2020-06,346800.0
2020-07,362664.0
2020-08,401924.0
2020-09,356194.0
2020-10,358856.0
2020-11,358849.0
2020-12,457197.0
2021-01,505972.0
2021-02,429345.0
2021-03,383773.0
2021-04,335652.0
2021-05,326198.0
2021-06,320463.0
2021-07,369473.0
2021-08,369334.0
2021-09,321049.0
2021-10,322776.0
2021-11,364910.0
2021-12,449119.0
2022-01,496176.0
2022-02,446899.0
2022-03,398597.0
2022-04,350829.0
2022-05,332857.0
2022-06,339787.0
2022-07,396596.0
2022-08,400557.0
2022-09,340472.0
2022-10,328983.0
2022-11,367425.0
2022-12,503285.0
