YYYY-MM,CTY_GAS_USQNT
2015-01,212766.0
2015-02,169859.0
2015-03,163830.0
2015-04,160400.0
2015-05,126235.0
2015-06,97130.0
2015-07,65776.0
2015-08,58805.0
2015-09,63500.0
2015-10,79776.0
2015-11,110927.0
2015-12,143602.0
2016-01,170745.0
2016-02,170914.0
2016-03,144233.0
2016-04,155487.0
2016-05,98176.0
2016-06,82663.0
2016-07,58831.0
2016-08,48269.0
2016-09,50402.0
2016-10,69052.0
2016-11,121419.0
2016-12,198879.0
2017-01,167385.0
2017-02,188960.0
2017-03,33349.0
2017-04,38638.0
2017-05,25873.0
2017-06,24483.0
2017-07,17175.0
2017-08,59961.0
2017-09,67870.0
2017-10,17528.0
2017-11,26612.0
2017-12,34354.0
2018-01,39029.0
2018-02,35614.0
2018-03,37189.0
2018-04,76620.0
2018-05,56521.0
2018-06,40626.0
2018-07,33748.0
2018-08,24181.0
2018-09,26239.0
2018-10,39273.0
2018-11,67514.0
2018-12,82680.0
2019-01,96008.0
2019-02,77275.0
2019-03,74960.0
2019-04,92337.0
2019-05,143687.0
2019-06,97574.0
2019-07,71489.0
2019-08,53755.0
2019-09,46145.0
2019-10,85428.0
2019-11,133365.0
2019-12,146872.0
2020-01,252036.0
2020-02,218991.0
2020-03,158353.0
2020-04,138261.0
2020-05,135627.0
2020-06,97336.0
2020-07,84648.0
2020-08,75244.0
2020-09,65940.0
2020-10,85423.0
2020-11,164262.0
2020-12,242344.0
2021-01,281012.0
2021-02,240914.0
2021-03,209320.0
2021-04,178855.0
2021-05,131973.0
2021-06,103819.0
2021-07,80202.0
2021-08,55076.0
2021-09,62573.0
2021-10,68135.0
2021-11,143390.0
2021-12,233882.0
2022-01,295604.0
2022-02,270906.0
2022-03,252448.0
2022-04,220778.0
2022-05,133164.0
2022-06,106760.0
2022-07,86199.0
2022-08,66167.0
2022-09,70556.0
2022-10,94698.0
2022-11,171120.0
2022-12,230273.0
