YYYY-MM,ELRW_USQNT
2015-01,458140.0
2015-02,451147.0
2015-03,375057.0
2015-04,347017.0
2015-05,301567.0
2015-06,325721.0
2015-07,322284.0
2015-08,382709.0
2015-09,339185.0
2015-10,283664.0
2015-11,313171.0
2015-12,375178.0
2016-01,398885.0
2016-02,420308.0
2016-03,353431.0
2016-04,294043.0
2016-05,261364.0
2016-06,296398.0
2016-07,285209.0
2016-08,360117.0
2016-09,317057.0
2016-10,246316.0
2016-11,295972.0
2016-12,369721.0
2017-01,389055.0
2017-02,393070.0
2017-03,124878.0
2017-04,115110.0
2017-05,99833.0
2017-06,108351.0
2017-07,131160.0
2017-08,119060.0
2017-09,122247.0
2017-10,117222.0
2017-11,141967.0
2017-12,208170.0
2018-01,232888.0
2018-02,239979.0
2018-03,170333.0
2018-04,147767.0
2018-05,124828.0
2018-06,138332.0
2018-07,156301.0
2018-08,235373.0
2018-09,170874.0
2018-10,128050.0
2018-11,161823.0
2018-12,213016.0
2019-01,256428.0
2019-02,238041.0
2019-03,196228.0
2019-04,179209.0
2019-05,256398.0
2019-06,275012.0
2019-07,284889.0
2019-08,363136.0
2019-09,309337.0
2019-10,264020.0
2019-11,281312.0
2019-12,367517.0
2020-01,400323.0
2020-02,375657.0
2020-03,322935.0
2020-04,287057.0
2020-05,264359.0
2020-06,301958.0
2020-07,333798.0
2020-08,354155.0
2020-09,376736.0
2020-10,277745.0
2020-11,318856.0
2020-12,403491.0
2021-01,513830.0
2021-02,448370.0
2021-03,344565.0
2021-04,307366.0
2021-05,273526.0
2021-06,324548.0
2021-07,376390.0
2021-08,457639.0
2021-09,358628.0
2021-10,314564.0
2021-11,363274.0
2021-12,444977.0
2022-01,544496.0
2022-02,520770.0
2022-03,412793.0
2022-04,366882.0
2022-05,307662.0
2022-06,352813.0
2022-07,532128.0
2022-08,570745.0
2022-09,484124.0
2022-10,413359.0
2022-11,430662.0
2022-12,527639.0
