YYYY-MM,CTY_GAS_USQNT
2015-01,608106.0
2015-02,603021.0
2015-03,499269.0
2015-04,511748.0
2015-05,432613.0
2015-06,314044.0
2015-07,302695.0
2015-08,310327.0
2015-09,380551.0
2015-10,259795.0
2015-11,338158.0
2015-12,406684.0
2016-01,623904.0
2016-02,671763.0
2016-03,628073.0
2016-04,574923.0
2016-05,382069.0
2016-06,330823.0
2016-07,323449.0
2016-08,370803.0
2016-09,425652.0
2016-10,320436.0
2016-11,346100.0
2016-12,515289.0
2017-01,661753.0
2017-02,668902.0
2017-03,419771.0
2017-04,359150.0
2017-05,282465.0
2017-06,211355.0
2017-07,221481.0
2017-08,454615.0
2017-09,410455.0
2017-10,221865.0
2017-11,190188.0
2017-12,356134.0
2018-01,527747.0
2018-02,474376.0
2018-03,464961.0
2018-04,430996.0
2018-05,260832.0
2018-06,220390.0
2018-07,249115.0
2018-08,269199.0
2018-09,276377.0
2018-10,305732.0
2018-11,194897.0
2018-12,359902.0
2019-01,481889.0
2019-02,482487.0
2019-03,430399.0
2019-04,355087.0
2019-05,458998.0
2019-06,340010.0
2019-07,340640.0
2019-08,374774.0
2019-09,314575.0
2019-10,381472.0
2019-11,311560.0
2019-12,233214.0
2020-01,593855.0
2020-02,563988.0
2020-03,601359.0
2020-04,396563.0
2020-05,345322.0
2020-06,271290.0
2020-07,354189.0
2020-08,342047.0
2020-09,299571.0
2020-10,297745.0
2020-11,290513.0
2020-12,431554.0
2021-01,575289.0
2021-02,664472.0
2021-03,511160.0
2021-04,480247.0
2021-05,331631.0
2021-06,471275.0
2021-07,503478.0
2021-08,533765.0
2021-09,406764.0
2021-10,513469.0
2021-11,524982.0
2021-12,667912.0
2022-01,763813.0
2022-02,755873.0
2022-03,688120.0
2022-04,645865.0
2022-05,508772.0
2022-06,508815.0
2022-07,516325.0
2022-08,570770.0
2022-09,520350.0
2022-10,710262.0
2022-11,804055.0
2022-12,1446951.0
