YYYY-MM,ELRW_USQNT
2015-01,2222111.0
2015-02,2121941.0
2015-03,1822660.0
2015-04,1707524.0
2015-05,1524540.0
2015-06,1794324.0
2015-07,1879474.0
2015-08,2230516.0
2015-09,1788079.0
2015-10,1552302.0
2015-11,1743181.0
2015-12,1979027.0
2016-01,2124378.0
2016-02,2164141.0
2016-03,1807237.0
2016-04,1628427.0
2016-05,1545424.0
2016-06,1824347.0
2016-07,1305332.0
2016-08,1626592.0
2016-09,1147327.0
2016-10,1043881.0
2016-11,1214954.0
2016-12,1379481.0
2017-01,1574626.0
2017-02,1601727.0
2017-03,730135.0
2017-04,713081.0
2017-05,623390.0
2017-06,722394.0
2017-07,832671.0
2017-08,877174.0
2017-09,701233.0
2017-10,610947.0
2017-11,754986.0
2017-12,873124.0
2018-01,972504.0
2018-02,1062556.0
2018-03,821928.0
2018-04,808884.0
2018-05,757166.0
2018-06,861121.0
2018-07,1034137.0
2018-08,1368737.0
2018-09,875081.0
2018-10,789749.0
2018-11,886442.0
2018-12,992954.0
2019-01,1087615.0
2019-02,994128.0
2019-03,822904.0
2019-04,838328.0
2019-05,1307579.0
2019-06,1442922.0
2019-07,1637256.0
2019-08,2016127.0
2019-09,1547990.0
2019-10,1347664.0
2019-11,1465265.0
2019-12,1738288.0
2020-01,1784188.0
2020-02,1720548.0
2020-03,1464466.0
2020-04,1396082.0
2020-05,1243767.0
2020-06,1624310.0
2020-07,1574471.0
2020-08,1816694.0
2020-09,1270674.0
2020-10,931497.0
2020-11,1493445.0
2020-12,1843087.0
2021-01,1997738.0
2021-02,1821442.0
2021-03,1416137.0
2021-04,1376688.0
2021-05,1247843.0
2021-06,1523566.0
2021-07,1815122.0
2021-08,1944170.0
2021-09,1506815.0
2021-10,1395988.0
2021-11,1596700.0
2021-12,1803768.0
2022-01,2103004.0
2022-02,2015880.0
2022-03,1593573.0
2022-04,1517494.0
2022-05,1539608.0
2022-06,1726540.0
2022-07,2075442.0
2022-08,2036190.0
2022-09,1574696.0
2022-10,1707933.0
2022-11,1830198.0
2022-12,2213884.0
