YYYY-MM,CTY_GAS_USQNT
2015-01,663005.0
2015-02,752534.0
2015-03,596026.0
2015-04,815867.0
2015-05,549925.0
2015-06,525035.0
2015-07,8772412.0
2015-08,9607386.0
2015-09,5488465.0
2015-10,8170344.0
2015-11,500827.0
2015-12,884024.0
2016-01,955774.0
2016-02,1266716.0
2016-03,880445.0
2016-04,983467.0
2016-05,565392.0
2016-06,577245.0
2016-07,9236931.0
2016-08,9644539.0
2016-09,9120108.0
2016-10,9919116.0
2016-11,718898.0
2016-12,1306301.0
2017-01,1290476.0
2017-02,1655137.0
2017-03,573778.0
2017-04,891810.0
2017-05,558298.0
2017-06,550573.0
2017-07,420478.0
2017-08,487885.0
2017-09,364396.0
2017-10,456824.0
2017-11,469580.0
2017-12,735189.0
2018-01,700586.0
2018-02,817853.0
2018-03,542727.0
2018-04,614813.0
2018-05,458830.0
2018-06,523476.0
2018-07,349535.0
2018-08,585199.0
2018-09,10021049.0
2018-10,540990.0
2018-11,418580.0
2018-12,681146.0
2019-01,728584.0
2019-02,833685.0
2019-03,654371.0
2019-04,714968.0
2019-05,633628.0
2019-06,595082.0
2019-07,466166.0
2019-08,600615.0
2019-09,460190.0
2019-10,531055.0
2019-11,490586.0
2019-12,405737.0
2020-01,791422.0
2020-02,746549.0
2020-03,602466.0
2020-04,453032.0
2020-05,376318.0
2020-06,455282.0
2020-07,476796.0
2020-08,527772.0
2020-09,296305.0
2020-10,278879.0
2020-11,440238.0
2020-12,698969.0
2021-01,696188.0
2021-02,794172.0
2021-03,559807.0
2021-04,684535.0
2021-05,453852.0
2021-06,521200.0
2021-07,402506.0
2021-08,482307.0
2021-09,368541.0
2021-10,437059.0
2021-11,335704.0
2021-12,618471.0
2022-01,596579.0
2022-02,777571.0
2022-03,658168.0
2022-04,674291.0
2022-05,443941.0
2022-06,470198.0
2022-07,504681.0
2022-08,624106.0
2022-09,521566.0
2022-10,530824.0
2022-11,401705.0
2022-12,628962.0
