YYYY-MM,CTY_GAS_USQNT
2015-01,22448.0
2015-02,5881933.0
2015-03,5080315.0
2015-04,4689183.0
2015-05,2928403.0
2015-06,1648289.0
2015-07,2300325.0
2015-08,2427933.0
2015-09,2496221.0
2015-10,2196499.0
2015-11,1814090.0
2015-12,3371038.0
2016-01,4659754.0
2016-02,46103.0
2016-03,5286789.0
2016-04,4291484.0
2016-05,3152464.0
2016-06,2884262.0
2016-07,2760715.0
2016-08,2830466.0
2016-09,2955762.0
2016-10,2377531.0
2016-11,2546454.0
2016-12,4687812.0
2017-01,49706.0
2017-02,114764.0
2017-03,47937.0
2017-04,42383.0
2017-05,3252818.0
2017-06,43017.0
2017-07,2493394.0
2017-08,2629329.0
2017-09,2644003.0
2017-10,2302197.0
2017-11,2592845.0
2017-12,4824271.0
2018-01,52137.0
2018-02,54036.0
2018-03,42317.0
2018-04,5106673.0
2018-05,3340952.0
2018-06,2846295.0
2018-07,2933685.0
2018-08,2980960.0
2018-09,3115416.0
2018-10,2451073.0
2018-11,3467846.0
2018-12,4930567.0
2019-01,23457.0
2019-02,27287.0
2019-03,24318.0
2019-04,5386572.0
2019-05,4408296.0
2019-06,2806523.0
2019-07,2597618.0
2019-08,2847520.0
2019-09,2672545.0
2019-10,3033799.0
2019-11,2946663.0
2019-12,3992364.0
2020-01,26668.0
2020-02,26979.0
2020-03,5708747.0
2020-04,4905714.0
2020-05,3286130.0
2020-06,2357370.0
2020-07,29482.0
2020-08,3103347.0
2020-09,2637182.0
2020-10,2324433.0
2020-11,2894621.0
2020-12,4042449.0
2021-01,5751473.0
2021-02,25779.0
2021-03,5092315.0
2021-04,4210696.0
2021-05,38499.0
2021-06,31316.0
2021-07,24157.0
2021-08,2834448.0
2021-09,2681853.0
2021-10,2303540.0
2021-11,31833.0
2021-12,4257644.0
2022-01,5790900.0
2022-02,25417.0
2022-03,22800.0
2022-04,4051125.0
2022-05,2759203.0
2022-06,2778239.0
2022-07,2555551.0
2022-08,3265337.0
2022-09,3301479.0
2022-10,2822271.0
2022-11,3045582.0
2022-12,3883784.0
