YYYY-MM,CTY_GAS_USQNT
2015-01,6072008.0
2015-02,5980561.0
2015-03,5189477.0
2015-04,3606061.0
2015-05,2811738.0
2015-06,1293112.0
2015-07,1069431.0
2015-08,797407.0
2015-09,723322.0
2015-10,826974.0
2015-11,1392800.0
2015-12,2663765.0
2016-01,5063275.0
2016-02,6031882.0
2016-03,5814063.0
2016-04,5259120.0
2016-05,2454947.0
2016-06,1347890.0
2016-07,860461.0
2016-08,706414.0
2016-09,719302.0
2016-10,797654.0
2016-11,1034940.0
2016-12,2671588.0
2017-01,4043957.0
2017-02,4734834.0
2017-03,1460290.0
2017-04,1203631.0
2017-05,720180.0
2017-06,309891.0
2017-07,215312.0
2017-08,442491.0
2017-09,490882.0
2017-10,160084.0
2017-11,228584.0
2017-12,958677.0
2018-01,1268119.0
2018-02,1512885.0
2018-03,1395198.0
2018-04,1109084.0
2018-05,643683.0
2018-06,328881.0
2018-07,267949.0
2018-08,197581.0
2018-09,205415.0
2018-10,222548.0
2018-11,353973.0
2018-12,761260.0
2019-01,1110287.0
2019-02,1634351.0
2019-03,1319143.0
2019-04,1000394.0
2019-05,610853.0
2019-06,343710.0
2019-07,278453.0
2019-08,246772.0
2019-09,237238.0
2019-10,238556.0
2019-11,309468.0
2019-12,25909.0
2020-01,917537.0
2020-02,1141227.0
2020-03,939933.0
2020-04,1927261.0
2020-05,1779649.0
2020-06,684040.0
2020-07,548370.0
2020-08,414087.0
2020-09,165948.0
2020-10,454558.0
2020-11,733372.0
2020-12,1753241.0
2021-01,715886.0
2021-02,2560149.0
2021-03,2119127.0
2021-04,2067663.0
2021-05,897649.0
2021-06,671124.0
2021-07,678978.0
2021-08,355904.0
2021-09,517726.0
2021-10,524760.0
2021-11,651478.0
2021-12,1271320.0
2022-01,2039551.0
2022-02,2379603.0
2022-03,2110690.0
2022-04,2442619.0
2022-05,1225069.0
2022-06,795843.0
2022-07,651439.0
2022-08,544779.0
2022-09,529612.0
2022-10,578560.0
2022-11,719492.0
2022-12,1303381.0
