YYYY-MM,CTY_GAS_USQNT
2015-01,4991039.0
2015-02,4680220.0
2015-03,3826140.0
2015-04,3022033.0
2015-05,1913485.0
2015-06,1137978.0
2015-07,873252.0
2015-08,808964.0
2015-09,696427.0
2015-10,878347.0
2015-11,1506289.0
2015-12,2773028.0
2016-01,3858275.0
2016-02,4411196.0
2016-03,3934005.0
2016-04,2851159.0
2016-05,1541701.0
2016-06,1005098.0
2016-07,872344.0
2016-08,763276.0
2016-09,668747.0
2016-10,811176.0
2016-11,1613082.0
2016-12,2972181.0
2017-01,3906632.0
2017-02,4645974.0
2017-03,3427473.0
2017-04,2699639.0
2017-05,1440006.0
2017-06,959873.0
2017-07,746723.0
2017-08,710267.0
2017-09,741393.0
2017-10,770330.0
2017-11,1399214.0
2017-12,3101436.0
2018-01,4491745.0
2018-02,4634194.0
2018-03,3879366.0
2018-04,2546660.0
2018-05,1587856.0
2018-06,996078.0
2018-07,801442.0
2018-08,670610.0
2018-09,623571.0
2018-10,822424.0
2018-11,1685768.0
2018-12,2710932.0
2019-01,4372764.0
2019-02,4119723.0
2019-03,3368287.0
2019-04,2867448.0
2019-05,1780225.0
2019-06,1066518.0
2019-07,846755.0
2019-08,743390.0
2019-09,623286.0
2019-10,850123.0
2019-11,1349519.0
2019-12,1738570.0
2020-01,4029909.0
2020-02,3925144.0
2020-03,3243812.0
2020-04,2579885.0
2020-05,1831337.0
2020-06,1103245.0
2020-07,887486.0
2020-08,864976.0
2020-09,378152.0
2020-10,409948.0
2020-11,1747504.0
2020-12,2894780.0
2021-01,4764230.0
2021-02,4312495.0
2021-03,3419716.0
2021-04,2362597.0
2021-05,1561432.0
2021-06,1088362.0
2021-07,810705.0
2021-08,630438.0
2021-09,616418.0
2021-10,747458.0
2021-11,1617983.0
2021-12,2894722.0
2022-01,4312557.0
2022-02,4626665.0
2022-03,3749233.0
2022-04,2754734.0
2022-05,1423979.0
2022-06,933220.0
2022-07,776324.0
2022-08,655336.0
2022-09,631003.0
2022-10,921487.0
2022-11,1809801.0
2022-12,2987449.0
