YYYY-MM,ELRW_USQNT
2015-01,3584058.0
2015-02,3482514.0
2015-03,2856809.0
2015-04,2800293.0
2015-05,2496700.0
2015-06,2598784.0
2015-07,2686139.0
2015-08,3270454.0
2015-09,2792933.0
2015-10,2386455.0
2015-11,2577916.0
2015-12,2906039.0
2016-01,3252767.0
2016-02,3409142.0
2016-03,2932876.0
2016-04,2621712.0
2016-05,2326415.0
2016-06,2488928.0
2016-07,2575798.0
2016-08,3178253.0
2016-09,2752787.0
2016-10,2165660.0
2016-11,2348240.0
2016-12,2669504.0
2017-01,2920372.0
2017-02,3073239.0
2017-03,2086513.0
2017-04,2024540.0
2017-05,1769878.0
2017-06,1859420.0
2017-07,2240064.0
2017-08,2553037.0
2017-09,2105355.0
2017-10,1803936.0
2017-11,1962622.0
2017-12,2444799.0
2018-01,2692439.0
2018-02,2891740.0
2018-03,2197250.0
2018-04,2136996.0
2018-05,1922001.0
2018-06,2086280.0
2018-07,2276893.0
2018-08,3295872.0
2018-09,2415109.0
2018-10,1718587.0
2018-11,2056491.0
2018-12,2359575.0
2019-01,2708094.0
2019-02,2636179.0
2019-03,2220885.0
2019-04,2231511.0
2019-05,2076193.0
2019-06,2193903.0
2019-07,2313265.0
2019-08,3010686.0
2019-09,2635079.0
2019-10,2142059.0
2019-11,2195708.0
2019-12,2603393.0
2020-01,2765007.0
2020-02,2710868.0
2020-03,2347940.0
2020-04,2235204.0
2020-05,2048618.0
2020-06,2260485.0
2020-07,2329819.0
2020-08,2566713.0
2020-09,1963342.0
2020-10,1407254.0
2020-11,2196293.0
2020-12,2461421.0
2021-01,2991173.0
2021-02,2773979.0
2021-03,2283005.0
2021-04,2175045.0
2021-05,1998972.0
2021-06,2187816.0
2021-07,2405306.0
2021-08,3090756.0
2021-09,2423447.0
2021-10,2079958.0
2021-11,2151700.0
2021-12,2403128.0
2022-01,2853913.0
2022-02,2787425.0
2022-03,2339202.0
2022-04,2213730.0
2022-05,1945626.0
2022-06,2113950.0
2022-07,2596542.0
2022-08,2882185.0
2022-09,2476277.0
2022-10,2215791.0
2022-11,2230412.0
2022-12,2586719.0
