YYYY-MM,ELRW_USQNT
2015-01,6419412.0
2015-02,5325147.0
2015-03,5632538.0
2015-04,5054801.0
2015-05,4860970.0
2015-06,5579775.0
2015-07,6423399.0
2015-08,6550854.0
2015-09,5349006.0
2015-10,4739919.0
2015-11,5376972.0
2015-12,6055525.0
2016-01,6832618.0
2016-02,6007147.0
2016-03,5906039.0
2016-04,5025151.0
2016-05,5178513.0
2016-06,5893056.0
2016-07,6895133.0
2016-08,7134851.0
2016-09,5744947.0
2016-10,5199927.0
2016-11,5667393.0
2016-12,6359588.0
2017-01,6646969.0
2017-02,6213056.0
2017-03,6043171.0
2017-04,5163671.0
2017-05,5155214.0
2017-06,6003949.0
2017-07,7267163.0
2017-08,7103551.0
2017-09,5890889.0
2017-10,5039951.0
2017-11,6101900.0
2017-12,7130436.0
2018-01,7782298.0
2018-02,6720582.0
2018-03,6233755.0
2018-04,5549710.0
2018-05,5846719.0
2018-06,6349411.0
2018-07,7780440.0
2018-08,8150213.0
2018-09,6164610.0
2018-10,5622689.0
2018-11,6202029.0
2018-12,7086684.0
2019-01,7653699.0
2019-02,6472021.0
2019-03,6264256.0
2019-04,5699599.0
2019-05,6015051.0
2019-06,6581776.0
2019-07,7604282.0
2019-08,8081866.0
2019-09,6695896.0
2019-10,6106816.0
2019-11,6017466.0
2019-12,7085188.0
2020-01,7023291.0
2020-02,6624244.0
2020-03,6512537.0
2020-04,5845608.0
2020-05,5866630.0
2020-06,7122885.0
2020-07,7612520.0
2020-08,8275338.0
2020-09,6894239.0
2020-10,6193283.0
2020-11,6734292.0
2020-12,7842001.0
2021-01,8259518.0
2021-02,6888344.0
2021-03,6597133.0
2021-04,6003218.0
2021-05,6116992.0
2021-06,7391377.0
2021-07,8771057.0
2021-08,8573632.0
2021-09,7254946.0
2021-10,6804668.0
2021-11,6792100.0
2021-12,7832043.0
2022-01,8196446.0
2022-02,7343568.0
2022-03,6988490.0
2022-04,6153235.0
2022-05,6443984.0
2022-06,7501377.0
2022-07,8951611.0
2022-08,9287155.0
2022-09,7855087.0
2022-10,6930821.0
2022-11,7091131.0
2022-12,8998091.0
