YYYY-MM,CTY_GAS_USQNT
2015-01,4582791.0
2015-02,4422730.0
2015-03,3481488.0
2015-04,10196745.0
2015-05,6133464.0
2015-06,3486183.0
2015-07,3479777.0
2015-08,3461191.0
2015-09,3236686.0
2015-10,2753793.0
2015-11,4492889.0
2015-12,7604082.0
2016-01,3580537.0
2016-02,5209661.0
2016-03,3706112.0
2016-04,9679710.0
2016-05,5123519.0
2016-06,3508378.0
2016-07,3461273.0
2016-08,3327316.0
2016-09,3249270.0
2016-10,2642736.0
2016-11,4419120.0
2016-12,8875594.0
2017-01,3776686.0
2017-02,4692633.0
2017-03,3788224.0
2017-04,9753693.0
2017-05,5536337.0
2017-06,3475758.0
2017-07,3449737.0
2017-08,3593125.0
2017-09,3180177.0
2017-10,2549322.0
2017-11,4652889.0
2017-12,9428144.0
2018-01,4556281.0
2018-02,5286952.0
2018-03,4294636.0
2018-04,9423209.0
2018-05,5874875.0
2018-06,3447075.0
2018-07,3445240.0
2018-08,3448625.0
2018-09,3454104.0
2018-10,2521308.0
2018-11,5553070.0
2018-12,8166537.0
2019-01,3951062.0
2019-02,4998990.0
2019-03,12014181.0
2019-04,9015665.0
2019-05,6365795.0
2019-06,3813182.0
2019-07,3342434.0
2019-08,3445529.0
2019-09,3386135.0
2019-10,2854436.0
2019-11,4707890.0
2019-12,7280195.0
2020-01,3871052.0
2020-02,4104475.0
2020-03,11561391.0
2020-04,10120804.0
2020-05,8038569.0
2020-06,4492472.0
2020-07,4626227.0
2020-08,4135418.0
2020-09,2757683.0
2020-10,2354753.0
2020-11,6374220.0
2020-12,9422014.0
2021-01,4974811.0
2021-02,5898635.0
2021-03,12324158.0
2021-04,9455485.0
2021-05,6638492.0
2021-06,5199143.0
2021-07,4741919.0
2021-08,4473167.0
2021-09,4220714.0
2021-10,3654189.0
2021-11,5973886.0
2021-12,9238522.0
2022-01,4872686.0
2022-02,5681117.0
2022-03,5263625.0
2022-04,10137011.0
2022-05,6635995.0
2022-06,4715029.0
2022-07,4306861.0
2022-08,4417705.0
2022-09,4178270.0
2022-10,3552944.0
2022-11,6187512.0
2022-12,8420954.0
