YYYY-MM,CTY_GAS_USQNT
2015-01,13694962.0
2015-02,12579175.0
2015-03,11216464.0
2015-04,8666606.0
2015-05,5767231.0
2015-06,3578513.0
2015-07,3116851.0
2015-08,2936395.0
2015-09,2856744.0
2015-10,3446384.0
2015-11,5379186.0
2015-12,9161362.0
2016-01,12038000.0
2016-02,13939385.0
2016-03,11329887.0
2016-04,8135664.0
2016-05,5014171.0
2016-06,3402106.0
2016-07,3138164.0
2016-08,3036584.0
2016-09,3199246.0
2016-10,3398648.0
2016-11,6074013.0
2016-12,10213227.0
2017-01,12208052.0
2017-02,13677905.0
2017-03,10013349.0
2017-04,7945220.0
2017-05,4607210.0
2017-06,3314043.0
2017-07,2857382.0
2017-08,3281246.0
2017-09,3355568.0
2017-10,3226598.0
2017-11,5652754.0
2017-12,10671248.0
2018-01,13218607.0
2018-02,13928978.0
2018-03,11109396.0
2018-04,7855956.0
2018-05,4991726.0
2018-06,3492265.0
2018-07,2936814.0
2018-08,2853229.0
2018-09,2964245.0
2018-10,3743258.0
2018-11,6233612.0
2018-12,9901842.0
2019-01,12694334.0
2019-02,12470887.0
2019-03,9492563.0
2019-04,8412542.0
2019-05,5779334.0
2019-06,3879708.0
2019-07,3179146.0
2019-08,3240860.0
2019-09,3120824.0
2019-10,3703097.0
2019-11,5794126.0
2019-12,4745863.0
2020-01,12691714.0
2020-02,12913101.0
2020-03,10992648.0
2020-04,8603497.0
2020-05,6064964.0
2020-06,3908951.0
2020-07,3477736.0
2020-08,3419550.0
2020-09,1348137.0
2020-10,1164416.0
2020-11,6768175.0
2020-12,10620222.0
2021-01,15605080.0
2021-02,13792051.0
2021-03,10521296.0
2021-04,7980718.0
2021-05,5453348.0
2021-06,3829635.0
2021-07,3207060.0
2021-08,2929267.0
2021-09,2925352.0
2021-10,3378593.0
2021-11,6666156.0
2021-12,10305528.0
2022-01,14251609.0
2022-02,14259150.0
2022-03,11565755.0
2022-04,8835900.0
2022-05,5053775.0
2022-06,3572910.0
2022-07,2933434.0
2022-08,2902669.0
2022-09,2893046.0
2022-10,3617672.0
2022-11,6215544.0
2022-12,10366589.0
