YYYY-MM,ELRW_USQNT
2015-01,602314.0
2015-02,569217.0
2015-03,505658.0
2015-04,498644.0
2015-05,452333.0
2015-06,560001.0
2015-07,584069.0
2015-08,700456.0
2015-09,564798.0
2015-10,438633.0
2015-11,479984.0
2015-12,549823.0
2016-01,593954.0
2016-02,589954.0
2016-03,522100.0
2016-04,476504.0
2016-05,462040.0
2016-06,585628.0
2016-07,661951.0
2016-08,818353.0
2016-09,565936.0
2016-10,469074.0
2016-11,522556.0
2016-12,571762.0
2017-01,613973.0
2017-02,607592.0
2017-03,263260.0
2017-04,258585.0
2017-05,107551.0
2017-06,273005.0
2017-07,385951.0
2017-08,145536.0
2017-09,110134.0
2017-10,258730.0
2017-11,305530.0
2017-12,311517.0
2018-01,345818.0
2018-02,357533.0
2018-03,289619.0
2018-04,299227.0
2018-05,283732.0
2018-06,308227.0
2018-07,431925.0
2018-08,589846.0
2018-09,342293.0
2018-10,271306.0
2018-11,315396.0
2018-12,317813.0
2019-01,349822.0
2019-02,334047.0
2019-03,288445.0
2019-04,301927.0
2019-05,286430.0
2019-06,301873.0
2019-07,356612.0
2019-08,505920.0
2019-09,342993.0
2019-10,271133.0
2019-11,291597.0
2019-12,288891.0
2020-01,306371.0
2020-02,315258.0
2020-03,294532.0
2020-04,288224.0
2020-05,277575.0
2020-06,327070.0
2020-07,336873.0
2020-08,450857.0
2020-09,117169.0
2020-10,62403.0
2020-11,280377.0
2020-12,285504.0
2021-01,344429.0
2021-02,316299.0
2021-03,260051.0
2021-04,266555.0
2021-05,265503.0
2021-06,310183.0
2021-07,444617.0
2021-08,507135.0
2021-09,320421.0
2021-10,258986.0
2021-11,277584.0
2021-12,290078.0
2022-01,333930.0
2022-02,315776.0
2022-03,278024.0
2022-04,267726.0
2022-05,250149.0
2022-06,302516.0
2022-07,467058.0
2022-08,769789.0
2022-09,526261.0
2022-10,446698.0
2022-11,490683.0
2022-12,572185.0
