YYYY-MM,CTY_GAS_USQNT
2015-01,193370.0
2015-02,191654.0
2015-03,180808.0
2015-04,152043.0
2015-05,116095.0
2015-06,82799.0
2015-07,112284.0
2015-08,107758.0
2015-09,107129.0
2015-10,93961.0
2015-11,81137.0
2015-12,129101.0
2016-01,194023.0
2016-02,265064.0
2016-03,256926.0
2016-04,196738.0
2016-05,126880.0
2016-06,93316.0
2016-07,125920.0
2016-08,117533.0
2016-09,116181.0
2016-10,97783.0
2016-11,110151.0
2016-12,220650.0
2017-01,299435.0
2017-02,337151.0
2017-03,240205.0
2017-04,171375.0
2017-05,127651.0
2017-06,83611.0
2017-07,121925.0
2017-08,172900.0
2017-09,182863.0
2017-10,114439.0
2017-11,94756.0
2017-12,150650.0
2018-01,259064.0
2018-02,305758.0
2018-03,282455.0
2018-04,192710.0
2018-05,137542.0
2018-06,94407.0
2018-07,115768.0
2018-08,131369.0
2018-09,125496.0
2018-10,111990.0
2018-11,100949.0
2018-12,164074.0
2019-01,272314.0
2019-02,307290.0
2019-03,264080.0
2019-04,215174.0
2019-05,159611.0
2019-06,113108.0
2019-07,118710.0
2019-08,142187.0
2019-09,127967.0
2019-10,114155.0
2019-11,115584.0
2019-12,109535.0
2020-01,259110.0
2020-02,285088.0
2020-03,278197.0
2020-04,230620.0
2020-05,152285.0
2020-06,110346.0
2020-07,132300.0
2020-08,117782.0
2020-09,126641.0
2020-10,135380.0
2020-11,121424.0
2020-12,205200.0
2021-01,381648.0
2021-02,455510.0
2021-03,335956.0
2021-04,250063.0
2021-05,161516.0
2021-06,114351.0
2021-07,138472.0
2021-08,156532.0
2021-09,180569.0
2021-10,135337.0
2021-11,155547.0
2021-12,253651.0
2022-01,331711.0
2022-02,381057.0
2022-03,344136.0
2022-04,246426.0
2022-05,178551.0
2022-06,144114.0
2022-07,137392.0
2022-08,227855.0
2022-09,245960.0
2022-10,147238.0
2022-11,162095.0
2022-12,222116.0
