YYYY-MM,ELRW_USQNT
2015-01,1835036.0
2015-02,1888024.0
2015-03,1775351.0
2015-04,1801053.0
2015-05,1647882.0
2015-06,1953565.0
2015-07,1960418.0
2015-08,2121540.0
2015-09,2008079.0
2015-10,1495340.0
2015-11,1801583.0
2015-12,1958987.0
2016-01,1837968.0
2016-02,1891146.0
2016-03,1647627.0
2016-04,1499343.0
2016-05,1400391.0
2016-06,1543869.0
2016-07,1746106.0
2016-08,1925894.0
2016-09,1387611.0
2016-10,1245485.0
2016-11,1701931.0
2016-12,1870046.0
2017-01,1841649.0
2017-02,1876920.0
2017-03,711048.0
2017-04,632983.0
2017-05,546385.0
2017-06,648339.0
2017-07,809189.0
2017-08,784137.0
2017-09,727623.0
2017-10,607707.0
2017-11,873100.0
2017-12,1091451.0
2018-01,1202326.0
2018-02,1282666.0
2018-03,905733.0
2018-04,768671.0
2018-05,685646.0
2018-06,806671.0
2018-07,992064.0
2018-08,1163790.0
2018-09,878246.0
2018-10,678645.0
2018-11,912367.0
2018-12,1133914.0
2019-01,1278439.0
2019-02,1160115.0
2019-03,957676.0
2019-04,924276.0
2019-05,799454.0
2019-06,880836.0
2019-07,995527.0
2019-08,1140867.0
2019-09,954694.0
2019-10,853056.0
2019-11,949706.0
2019-12,1206188.0
2020-01,1219417.0
2020-02,1189131.0
2020-03,1027848.0
2020-04,915653.0
2020-05,741002.0
2020-06,974169.0
2020-07,953685.0
2020-08,1091076.0
2020-09,1115628.0
2020-10,801971.0
2020-11,1033585.0
2020-12,1325776.0
2021-01,1460621.0
2021-02,1368919.0
2021-03,1010160.0
2021-04,911660.0
2021-05,822115.0
2021-06,1026551.0
2021-07,1224871.0
2021-08,1242856.0
2021-09,1047076.0
2021-10,961519.0
2021-11,1092140.0
2021-12,1351742.0
2022-01,1638071.0
2022-02,1544222.0
2022-03,1142963.0
2022-04,1065372.0
2022-05,993365.0
2022-06,1125619.0
2022-07,1284855.0
2022-08,1139523.0
2022-09,935654.0
2022-10,907886.0
2022-11,978963.0
2022-12,1298763.0
