YYYY-MM,CTY_GAS_USQNT
2015-01,4229177.0
2015-02,3866516.0
2015-03,3266764.0
2015-04,2947981.0
2015-05,1860993.0
2015-06,1057619.0
2015-07,826951.0
2015-08,818188.0
2015-09,801561.0
2015-10,887600.0
2015-11,1433348.0
2015-12,2576114.0
2016-01,3483592.0
2016-02,4001580.0
2016-03,3338594.0
2016-04,2766463.0
2016-05,1495993.0
2016-06,1000509.0
2016-07,849677.0
2016-08,790773.0
2016-09,887269.0
2016-10,870337.0
2016-11,1598608.0
2016-12,2933859.0
2017-01,3606271.0
2017-02,4016696.0
2017-03,4470245.0
2017-04,3654820.0
2017-05,2017442.0
2017-06,1320041.0
2017-07,1087320.0
2017-08,1114000.0
2017-09,1201421.0
2017-10,1177690.0
2017-11,2155795.0
2017-12,4533816.0
2018-01,5719536.0
2018-02,6088972.0
2018-03,5032934.0
2018-04,3542467.0
2018-05,2217744.0
2018-06,1413538.0
2018-07,1082260.0
2018-08,1064391.0
2018-09,1097910.0
2018-10,1296003.0
2018-11,2534116.0
2018-12,3947827.0
2019-01,5787255.0
2019-02,5652204.0
2019-03,3951593.0
2019-04,3924135.0
2019-05,2284385.0
2019-06,1339545.0
2019-07,1056521.0
2019-08,834848.0
2019-09,687777.0
2019-10,5470532.0
2019-11,1952706.0
2019-12,2134348.0
2020-01,5085766.0
2020-02,5468558.0
2020-03,4501106.0
2020-04,3403155.0
2020-05,2274993.0
2020-06,1279001.0
2020-07,1125475.0
2020-08,1055487.0
2020-09,439401.0
2020-10,290949.0
2020-11,2482441.0
2020-12,4031294.0
2021-01,6444486.0
2021-02,5271820.0
2021-03,4280276.0
2021-04,3433224.0
2021-05,2145713.0
2021-06,1369874.0
2021-07,1149851.0
2021-08,965565.0
2021-09,1040380.0
2021-10,1185077.0
2021-11,2483187.0
2021-12,4137553.0
2022-01,5838272.0
2022-02,5845669.0
2022-03,4818130.0
2022-04,3670049.0
2022-05,1958581.0
2022-06,1264009.0
2022-07,1069085.0
2022-08,980746.0
2022-09,1085580.0
2022-10,1137397.0
2022-11,2200991.0
2022-12,3865260.0
