YYYY-MM,ELRW_USQNT
2015-01,1815362.0
2015-02,1724964.0
2015-03,1527223.0
2015-04,1531871.0
2015-05,1446441.0
2015-06,1576525.0
2015-07,1653621.0
2015-08,1882291.0
2015-09,1550531.0
2015-10,1427344.0
2015-11,1543014.0
2015-12,1662843.0
2016-01,1786101.0
2016-02,1780816.0
2016-03,1593608.0
2016-04,1521905.0
2016-05,1462123.0
2016-06,1591632.0
2016-07,1667391.0
2016-08,1979939.0
2016-09,1558907.0
2016-10,1411592.0
2016-11,1490833.0
2016-12,1607804.0
2017-01,1707371.0
2017-02,1680376.0
2017-03,1574078.0
2017-04,1586201.0
2017-05,1371491.0
2017-06,1452978.0
2017-07,1883330.0
2017-08,2001352.0
2017-09,1633630.0
2017-10,1482494.0
2017-11,1600482.0
2017-12,1782929.0
2018-01,1884479.0
2018-02,1884558.0
2018-03,1567088.0
2018-04,1549283.0
2018-05,1504695.0
2018-06,1599974.0
2018-07,1832010.0
2018-08,2314399.0
2018-09,1510846.0
2018-10,1436079.0
2018-11,1464822.0
2018-12,1637811.0
2019-01,1862064.0
2019-02,1776607.0
2019-03,1541751.0
2019-04,1583918.0
2019-05,1536855.0
2019-06,1596854.0
2019-07,1695170.0
2019-08,2078462.0
2019-09,1855008.0
2019-10,1517516.0
2019-11,1554346.0
2019-12,1710211.0
2020-01,1829710.0
2020-02,1879688.0
2020-03,1719216.0
2020-04,1710534.0
2020-05,1646164.0
2020-06,1785892.0
2020-07,1826452.0
2020-08,2080134.0
2020-09,665403.0
2020-10,523954.0
2020-11,1696389.0
2020-12,1873124.0
2021-01,2091829.0
2021-02,1957052.0
2021-03,1655749.0
2021-04,1681497.0
2021-05,1621323.0
2021-06,1756458.0
2021-07,1955234.0
2021-08,2391297.0
2021-09,1944069.0
2021-10,1644439.0
2021-11,1695170.0
2021-12,1832960.0
2022-01,2058023.0
2022-02,2008094.0
2022-03,1731600.0
2022-04,1710075.0
2022-05,1579203.0
2022-06,1699519.0
2022-07,2046117.0
2022-08,2295988.0
2022-09,1950673.0
2022-10,1592674.0
2022-11,1638748.0
2022-12,1842436.0
