YYYY-MM,CTY_GAS_USQNT
2015-01,10410.0
2015-02,10053.0
2015-03,6867.0
2015-04,4229.0
2015-05,2586.0
2015-06,1278.0
2015-07,905.0
2015-08,1073.0
2015-09,2586.0
2015-10,6571.0
2015-11,16412.0
2015-12,29699.0
2016-01,40450.0
2016-02,55167.0
2016-03,40487.0
2016-04,23343.0
2016-05,11579.0
2016-06,6195.0
2016-07,10186.0
2016-08,10131.0
2016-09,9261.0
2016-10,19391.0
2016-11,51524.0
2016-12,86277.0
2017-01,108066.0
2017-02,140769.0
2017-03,18029.0
2017-04,12760.0
2017-05,5157.0
2017-06,2695.0
2017-07,1429.0
2017-08,3653.0
2017-09,3953.0
2017-10,3633.0
2017-11,9303.0
2017-12,18365.0
2018-01,20997.0
2018-02,24176.0
2018-03,19646.0
2018-04,14530.0
2018-05,9945.0
2018-06,3776.0
2018-07,2652.0
2018-08,1252.0
2018-09,1635.0
2018-10,4003.0
2018-11,12480.0
2018-12,23549.0
2019-01,33379.0
2019-02,32404.0
2019-03,49543.0
2019-04,45820.0
2019-05,28593.0
2019-06,15886.0
2019-07,10483.0
2019-08,10122.0
2019-09,8358.0
2019-10,13935.0
2019-11,33245.0
2019-12,44830.0
2020-01,86812.0
2020-02,81772.0
2020-03,65725.0
2020-04,60695.0
2020-05,35843.0
2020-06,19494.0
2020-07,13096.0
2020-08,15506.0
2020-09,10947.0
2020-10,16462.0
2020-11,48990.0
2020-12,74720.0
2021-01,110666.0
2021-02,84506.0
2021-03,85796.0
2021-04,51169.0
2021-05,32779.0
2021-06,32478.0
2021-07,25110.0
2021-08,19661.0
2021-09,22255.0
2021-10,23849.0
2021-11,60014.0
2021-12,84478.0
2022-01,115645.0
2022-02,111903.0
2022-03,93858.0
2022-04,75852.0
2022-05,0.0
2022-06,66682.0
2022-07,29773.0
2022-08,29441.0
2022-09,32637.0
2022-10,32242.0
2022-11,53375.0
2022-12,79865.0
