YYYY-MM,ELRW_USQNT
2015-01,613706.0
2015-02,622052.0
2015-03,1094489.0
2015-04,1468333.0
2015-05,1637645.0
2015-06,65429.0
2015-07,62068.0
2015-08,71880.0
2015-09,69889.0
2015-10,1609222.0
2015-11,1289396.0
2015-12,830259.0
2016-01,548922.0
2016-02,213895.0
2016-03,473483.0
2016-04,1053239.0
2016-05,1226313.0
2016-06,66180.0
2016-07,301596.0
2016-08,352105.0
2016-09,285899.0
2016-10,1530882.0
2016-11,1293235.0
2016-12,975181.0
2017-01,762974.0
2017-02,904832.0
2017-03,37167.0
2017-04,38274.0
2017-05,65054.0
2017-06,38731.0
2017-07,40440.0
2017-08,43954.0
2017-09,41743.0
2017-10,45059.0
2017-11,55049.0
2017-12,62048.0
2018-01,57708.0
2018-02,66428.0
2018-03,48312.0
2018-04,48322.0
2018-05,44029.0
2018-06,45030.0
2018-07,53430.0
2018-08,66302.0
2018-09,52205.0
2018-10,44801.0
2018-11,53119.0
2018-12,60469.0
2019-01,66792.0
2019-02,64817.0
2019-03,53482.0
2019-04,53273.0
2019-05,45296.0
2019-06,46983.0
2019-07,51675.0
2019-08,90804.0
2019-09,77413.0
2019-10,69804.0
2019-11,80810.0
2019-12,81559.0
2020-01,72735.0
2020-02,65695.0
2020-03,55773.0
2020-04,53753.0
2020-05,46419.0
2020-06,53978.0
2020-07,53754.0
2020-08,64863.0
2020-09,62165.0
2020-10,47438.0
2020-11,52401.0
2020-12,66264.0
2021-01,73356.0
2021-02,66895.0
2021-03,51153.0
2021-04,47909.0
2021-05,39738.0
2021-06,42503.0
2021-07,47968.0
2021-08,49677.0
2021-09,33659.0
2021-10,31693.0
2021-11,38955.0
2021-12,47012.0
2022-01,55672.0
2022-02,49903.0
2022-03,38254.0
2022-04,34982.0
2022-05,28848.0
2022-06,30751.0
2022-07,39036.0
2022-08,93671.0
2022-09,70001.0
2022-10,60705.0
2022-11,82762.0
2022-12,115928.0
