YYYY-MM,ELRW_USQNT
2015-01,17669.0
2015-02,16684.0
2015-03,14402.0
2015-04,12806.0
2015-05,10408.0
2015-06,8909.0
2015-07,8361.0
2015-08,8962.0
2015-09,8794.0
2015-10,9175.0
2015-11,11967.0
2015-12,13615.0
2016-01,11494.0
2016-02,11489.0
2016-03,9829.0
2016-04,8610.0
2016-05,7561.0
2016-06,7005.0
2016-07,5078.0
2016-08,5076.0
2016-09,4754.0
2016-10,4791.0
2016-11,4753.0
2016-12,5699.0
2017-01,5274.0
2017-02,5434.0
2017-03,627.0
2017-04,593.0
2017-05,573.0
2017-06,632.0
2017-07,621.0
2017-09,212.0
2017-10,941.0
2017-11,1041.0
2017-12,888.0
2018-01,914.0
2018-02,900.0
2018-03,1073.0
2018-04,1153.0
2018-05,945.0
2018-06,877.0
2018-07,878.0
2018-08,1057.0
2018-09,948.0
2018-10,1178.0
2018-11,1113.0
2018-12,1353.0
2019-01,1220.0
2019-02,1054.0
2019-03,1091.0
2019-04,1454.0
2019-05,1339.0
2019-06,1396.0
2019-07,1278.0
2019-08,1441.0
2019-09,1243.0
2019-10,1137.0
2019-11,1326.0
2019-12,1280.0
2020-01,1006.0
2020-02,987.0
2020-03,960.0
2020-04,904.0
2020-05,770.0
2020-06,765.0
2020-07,726.0
2020-08,859.0
2020-09,748.0
2020-10,640.0
2020-11,815.0
2020-12,865.0
2021-01,1162.0
2021-02,1112.0
2021-03,963.0
2021-04,890.0
2021-05,830.0
2021-06,783.0
2021-07,893.0
2021-08,1067.0
2021-09,844.0
2021-10,782.0
2021-11,829.0
2021-12,885.0
2022-01,1387.0
2022-02,1232.0
2022-03,961.0
2022-04,827.0
2022-05,769.0
2022-06,846.0
2022-07,959.0
2022-08,997.0
2022-09,798.0
2022-10,763.0
2022-11,781.0
2022-12,858.0
