YYYY-MM,ELRW_USQNT
2015-01,108417.0
2015-02,100832.0
2015-03,84174.0
2015-04,74908.0
2015-05,57600.0
2015-06,43792.0
2015-07,37846.0
2015-08,42754.0
2015-09,42250.0
2015-10,49360.0
2015-11,67668.0
2015-12,82181.0
2016-01,91258.0
2016-02,101433.0
2016-03,79248.0
2016-04,71408.0
2016-05,53920.0
2016-06,42910.0
2016-07,38014.0
2016-08,44822.0
2016-09,43334.0
2016-10,42340.0
2016-11,63316.0
2016-12,78937.0
2017-01,74812.0
2017-02,60714.0
2017-03,37575.0
2017-04,32849.0
2017-05,16157.0
2017-06,12519.0
2017-07,10362.0
2017-08,9421.0
2017-09,10987.0
2017-10,13743.0
2017-11,20435.0
2017-12,26241.0
2018-01,26822.0
2018-02,26927.0
2018-03,18192.0
2018-04,16926.0
2018-05,14666.0
2018-06,10469.0
2018-07,9076.0
2018-08,9604.0
2018-09,11582.0
2018-10,15637.0
2018-11,20322.0
2018-12,24388.0
2019-01,28763.0
2019-02,24234.0
2019-03,17581.0
2019-04,16136.0
2019-05,13134.0
2019-06,11072.0
2019-07,9379.0
2019-08,9735.0
2019-09,10615.0
2019-10,14754.0
2019-11,18634.0
2019-12,22367.0
2020-01,23822.0
2020-02,21932.0
2020-03,18038.0
2020-04,17144.0
2020-05,12502.0
2020-06,9621.0
2020-07,9270.0
2020-08,9474.0
2020-09,10150.0
2020-10,16109.0
2020-11,23392.0
2020-12,49794.0
2021-01,49633.0
2021-02,42726.0
2021-03,22748.0
2021-04,17056.0
2021-05,13935.0
2021-06,11443.0
2021-07,9112.0
2021-08,9354.0
2021-09,11530.0
2021-10,12681.0
2021-11,19455.0
2021-12,15114.0
2022-01,12314.0
2022-02,12244.0
2022-03,13342.0
2022-04,14966.0
2022-05,14020.0
2022-06,12531.0
2022-07,9242.0
2022-08,11645.0
2022-09,14531.0
2022-10,17533.0
2022-11,22647.0
2022-12,29123.0
