YYYY-MM,CTY_GAS_USQNT
2015-01,4685511.0
2015-02,4408019.0
2015-03,3669952.0
2015-04,3302191.0
2015-05,2281092.0
2015-06,1682114.0
2015-07,1661903.0
2015-08,1727071.0
2015-09,1709027.0
2015-10,1699048.0
2015-11,1501318.0
2015-12,2438168.0
2016-01,3639643.0
2016-02,4778940.0
2016-03,4142522.0
2016-04,3453568.0
2016-05,2153588.0
2016-06,1844058.0
2016-07,2016752.0
2016-08,1942059.0
2016-09,1802217.0
2016-10,1348774.0
2016-11,1334784.0
2016-12,2655568.0
2017-01,3472775.0
2017-02,4218490.0
2017-03,3627262.0
2017-04,2990232.0
2017-05,1835374.0
2017-06,1341030.0
2017-07,1288596.0
2017-08,1537971.0
2017-09,1510468.0
2017-10,1216086.0
2017-11,1123365.0
2017-12,2515012.0
2018-01,3813292.0
2018-02,4189545.0
2018-03,3463559.0
2018-04,2778014.0
2018-05,1909267.0
2018-06,1463220.0
2018-07,1507387.0
2018-08,1554319.0
2018-09,1481889.0
2018-10,1160305.0
2018-11,1374345.0
2018-12,2251128.0
2019-01,3610694.0
2019-02,3879606.0
2019-03,3186545.0
2019-04,2636287.0
2019-05,2016536.0
2019-06,1436726.0
2019-07,1370619.0
2019-08,1490369.0
2019-09,1531580.0
2019-10,1303382.0
2019-11,1256547.0
2019-12,2217181.0
2020-01,3508701.0
2020-02,3542985.0
2020-03,3012051.0
2020-04,2737161.0
2020-05,2167162.0
2020-06,1341327.0
2020-07,1431021.0
2020-08,1480122.0
2020-09,1758577.0
2020-10,1623844.0
2020-11,1618418.0
2020-12,2338243.0
2021-01,3393259.0
2021-02,3982437.0
2021-03,2874452.0
2021-04,2501700.0
2021-05,1922309.0
2021-06,1576907.0
2021-07,1742542.0
2021-08,1883484.0
2021-09,1863928.0
2021-10,1489017.0
2021-11,1768105.0
2021-12,2174433.0
2022-01,3073324.0
2022-02,3491794.0
2022-03,3330062.0
2022-04,2315726.0
2022-05,1647324.0
2022-06,1618554.0
2022-07,1317721.0
2022-08,1676204.0
2022-09,1536716.0
2022-10,1195849.0
2022-11,1391955.0
2022-12,2218007.0
