YYYY-MM,CTY_GAS_USQNT
2015-01,6683563.0
2015-02,6461983.0
2015-03,5585574.0
2015-04,4691596.0
2015-05,3179139.0
2015-06,2175971.0
2015-07,2634490.0
2015-08,2895402.0
2015-09,3175011.0
2015-10,2327942.0
2015-11,2293311.0
2015-12,3868470.0
2016-01,5547146.0
2016-02,7371580.0
2016-03,5951357.0
2016-04,4454671.0
2016-05,2730446.0
2016-06,2202562.0
2016-07,2775711.0
2016-08,3276449.0
2016-09,3652584.0
2016-10,2296400.0
2016-11,2742377.0
2016-12,4727340.0
2017-01,6104659.0
2017-02,7125204.0
2017-03,5312832.0
2017-04,4530968.0
2017-05,2640899.0
2017-06,2142997.0
2017-07,2265195.0
2017-08,3253157.0
2017-09,3432054.0
2017-10,2128680.0
2017-11,2460295.0
2017-12,5268455.0
2018-01,6650312.0
2018-02,7879459.0
2018-03,6129449.0
2018-04,4474726.0
2018-05,3004065.0
2018-06,2137411.0
2018-07,2111214.0
2018-08,2585570.0
2018-09,2767616.0
2018-10,2405705.0
2018-11,2982171.0
2018-12,4610319.0
2019-01,6228759.0
2019-02,7083464.0
2019-03,5138591.0
2019-04,4639411.0
2019-05,3274400.0
2019-06,2180760.0
2019-07,2328534.0
2019-08,2925420.0
2019-09,2831070.0
2019-10,2468723.0
2019-11,2556434.0
2019-12,2440508.0
2020-01,6354183.0
2020-02,7196479.0
2020-03,5660010.0
2020-04,4508251.0
2020-05,3319687.0
2020-06,2271143.0
2020-07,2755016.0
2020-08,2441495.0
2020-09,2393596.0
2020-10,1871558.0
2020-11,3103254.0
2020-12,5220688.0
2021-01,8110754.0
2021-02,8257557.0
2021-03,5637928.0
2021-04,4656286.0
2021-05,2846213.0
2021-06,2353461.0
2021-07,2551732.0
2021-08,2876205.0
2021-09,2731623.0
2021-10,2124600.0
2021-11,3235971.0
2021-12,5239611.0
2022-01,7465374.0
2022-02,8091853.0
2022-03,6740476.0
2022-04,4993801.0
2022-05,3058227.0
2022-06,2320598.0
2022-07,2486915.0
2022-08,2915867.0
2022-09,2908775.0
2022-10,2346179.0
2022-11,3225655.0
2022-12,5409445.0
