YYYY-MM,ELRW_USQNT
2015-01,7556322.0
2015-02,7154851.0
2015-03,5835921.0
2015-04,5396260.0
2015-05,4850887.0
2015-06,5570536.0
2015-07,5997984.0
2015-08,7213635.0
2015-09,5926934.0
2015-10,4985843.0
2015-11,5509353.0
2015-12,6403590.0
2016-01,7122754.0
2016-02,7206315.0
2016-03,5959950.0
2016-04,5109422.0
2016-05,4680692.0
2016-06,5491735.0
2016-07,6033226.0
2016-08,7366565.0
2016-09,5832248.0
2016-10,4678023.0
2016-11,5124912.0
2016-12,5915912.0
2017-01,6616934.0
2017-02,6654997.0
2017-03,4383354.0
2017-04,3975233.0
2017-05,3546884.0
2017-06,3977365.0
2017-07,4856411.0
2017-08,4428627.0
2017-09,3500804.0
2017-10,3676005.0
2017-11,2758735.0
2017-12,5067173.0
2018-01,6000041.0
2018-02,6284590.0
2018-03,4936757.0
2018-04,4399014.0
2018-05,3789687.0
2018-06,4086483.0
2018-07,4596044.0
2018-08,6345021.0
2018-09,5258150.0
2018-10,3744498.0
2018-11,3798560.0
2018-12,4738614.0
2019-01,5957425.0
2019-02,5655707.0
2019-03,4789473.0
2019-04,4539125.0
2019-05,4127433.0
2019-06,4364432.0
2019-07,4787407.0
2019-08,6194588.0
2019-09,5873406.0
2019-10,4548891.0
2019-11,4241276.0
2019-12,5231442.0
2020-01,5934419.0
2020-02,6051311.0
2020-03,5223259.0
2020-04,4727283.0
2020-05,4293121.0
2020-06,4649213.0
2020-07,5121841.0
2020-08,5536230.0
2020-09,5648327.0
2020-10,3913203.0
2020-11,4483951.0
2020-12,5204633.0
2021-01,6157518.0
2021-02,6012374.0
2021-03,4933435.0
2021-04,4628793.0
2021-05,4052858.0
2021-06,4503026.0
2021-07,5231612.0
2021-08,6306638.0
2021-09,5183527.0
2021-10,4423034.0
2021-11,4390278.0
2021-12,5083808.0
2022-01,6022443.0
2022-02,6107611.0
2022-03,5190937.0
2022-04,4662414.0
2022-05,4097538.0
2022-06,4580043.0
2022-07,5870663.0
2022-08,6505649.0
2022-09,5650007.0
2022-10,4660341.0
2022-11,4427150.0
2022-12,5153315.0
