YYYY-MM,ELRW_USQNT
2015-01,35623.0
2015-02,34799.0
2015-03,30132.0
2015-04,29987.0
2015-05,23778.0
2015-06,23903.0
2015-07,23254.0
2015-08,26518.0
2015-09,24175.0
2015-10,24006.0
2015-11,28041.0
2015-12,30135.0
2016-01,31620.0
2016-02,32821.0
2016-03,26880.0
2016-04,25625.0
2016-05,22088.0
2016-06,24542.0
2016-07,22886.0
2016-08,25451.0
2016-09,22023.0
2016-10,22243.0
2016-11,24937.0
2016-12,30615.0
2017-01,30868.0
2017-02,32589.0
2017-03,9192.0
2017-04,7958.0
2017-05,5798.0
2017-06,5359.0
2017-07,6078.0
2017-08,5856.0
2017-09,9629.0
2017-10,9199.0
2017-11,12095.0
2017-12,15817.0
2018-01,16307.0
2018-02,17729.0
2018-03,12013.0
2018-04,10167.0
2018-05,8553.0
2018-06,8307.0
2018-07,8032.0
2018-08,10286.0
2018-09,8734.0
2018-10,8976.0
2018-11,12792.0
2018-12,16591.0
2019-01,14996.0
2019-02,13708.0
2019-03,10258.0
2019-04,11170.0
2019-05,8578.0
2019-06,8127.0
2019-07,7441.0
2019-08,9505.0
2019-09,6846.0
2019-10,8061.0
2019-11,10726.0
2019-12,12804.0
2020-01,14708.0
2020-02,14360.0
2020-03,8738.0
2020-04,8197.0
2020-05,8269.0
2020-06,10683.0
2020-07,7613.0
2020-08,10058.0
2020-09,8363.0
2020-10,9102.0
2020-11,12283.0
2020-12,15201.0
2021-01,17576.0
2021-02,14625.0
2021-03,13434.0
2021-04,11466.0
2021-05,7972.0
2021-06,8237.0
2021-07,8754.0
2021-08,6011.0
2021-09,5161.0
2021-10,7634.0
2021-11,12085.0
2021-12,15894.0
2022-01,18921.0
2022-02,18827.0
2022-03,14070.0
2022-04,12226.0
2022-05,8012.0
2022-06,7307.0
2022-07,7195.0
2022-08,7274.0
2022-09,6423.0
2022-10,6407.0
2022-11,7730.0
2022-12,10607.0
