YYYY-MM,CTY_GAS_USQNT
2015-01,8703090.0
2015-02,8215172.0
2015-03,7028233.0
2015-04,5669959.0
2015-05,3652844.0
2015-06,2115228.0
2015-07,1675821.0
2015-08,1623339.0
2015-09,1462318.0
2015-10,1589137.0
2015-11,2353774.0
2015-12,4439769.0
2016-01,6747076.0
2016-02,8219575.0
2016-03,7437024.0
2016-04,5431341.0
2016-05,2968818.0
2016-06,1981777.0
2016-07,1741679.0
2016-08,1738284.0
2016-09,1650434.0
2016-10,1558251.0
2016-11,2663685.0
2016-12,5154302.0
2017-01,7071528.0
2017-02,8182646.0
2017-03,4421276.0
2017-04,3768678.0
2017-05,2034646.0
2017-06,1317122.0
2017-07,1334202.0
2017-08,1274395.0
2017-09,1219674.0
2017-10,1156230.0
2017-11,1613912.0
2017-12,3558256.0
2018-01,5521722.0
2018-02,5798728.0
2018-03,4997434.0
2018-04,3528806.0
2018-05,2224334.0
2018-06,1561304.0
2018-07,1362602.0
2018-08,1339844.0
2018-09,1300370.0
2018-10,1261475.0
2018-11,1931181.0
2018-12,3057845.0
2019-01,5251571.0
2019-02,5090709.0
2019-03,4487788.0
2019-04,3743556.0
2019-05,2557260.0
2019-06,1535107.0
2019-07,1473292.0
2019-08,1495262.0
2019-09,1275957.0
2019-10,1280709.0
2019-11,1294899.0
2019-12,1064437.0
2020-01,4540864.0
2020-02,4530948.0
2020-03,3914053.0
2020-04,3240282.0
2020-05,2400545.0
2020-06,1370688.0
2020-07,1357333.0
2020-08,1372810.0
2020-09,853624.0
2020-10,752544.0
2020-11,1826495.0
2020-12,3110027.0
2021-01,5209322.0
2021-02,5772116.0
2021-03,4059430.0
2021-04,3286245.0
2021-05,2037497.0
2021-06,1439181.0
2021-07,1360428.0
2021-08,1225838.0
2021-09,1108690.0
2021-10,1182028.0
2021-11,1786065.0
2021-12,3169548.0
2022-01,4892445.0
2022-02,5419799.0
2022-03,4824465.0
2022-04,3710669.0
2022-05,2079090.0
2022-06,1481563.0
2022-07,1287847.0
2022-08,1252706.0
2022-09,1163823.0
2022-10,1218260.0
2022-11,1855754.0
2022-12,3010952.0
