YYYY-MM,ELRW_USQNT
2015-01,3733358.0
2015-02,3633319.0
2015-03,3178346.0
2015-04,3167044.0
2015-05,2984266.0
2015-06,3243453.0
2015-07,3415378.0
2015-08,3994790.0
2015-09,3297392.0
2015-10,2923176.0
2015-11,3091953.0
2015-12,3324488.0
2016-01,3241590.0
2016-02,3270571.0
2016-03,2947985.0
2016-04,2806826.0
2016-05,2706794.0
2016-06,2970119.0
2016-07,3177791.0
2016-08,3888525.0
2016-09,3095550.0
2016-10,2625354.0
2016-11,2764856.0
2016-12,2960085.0
2017-01,3135520.0
2017-02,3150644.0
2017-03,1999933.0
2017-04,1954202.0
2017-05,1842235.0
2017-06,1995775.0
2017-07,2391062.0
2017-08,2578746.0
2017-09,2086554.0
2017-10,1813703.0
2017-11,1999997.0
2017-12,2181161.0
2018-01,2355191.0
2018-02,2372925.0
2018-03,1964603.0
2018-04,1912915.0
2018-05,1862609.0
2018-06,2042193.0
2018-07,2341152.0
2018-08,3044436.0
2018-09,2128314.0
2018-10,1747333.0
2018-11,1899706.0
2018-12,2078113.0
2019-01,2279411.0
2019-02,2152153.0
2019-03,1907588.0
2019-04,1919012.0
2019-05,1947038.0
2019-06,2096779.0
2019-07,2290807.0
2019-08,2868610.0
2019-09,2276331.0
2019-10,1906947.0
2019-11,1951791.0
2019-12,2159759.0
2020-01,2305514.0
2020-02,2251201.0
2020-03,2031856.0
2020-04,1978666.0
2020-05,1908264.0
2020-06,2219461.0
2020-07,2250248.0
2020-08,2612272.0
2020-09,1183778.0
2020-10,950949.0
2020-11,1994075.0
2020-12,2208272.0
2021-01,2453158.0
2021-02,2293834.0
2021-03,2010341.0
2021-04,2019795.0
2021-05,1954034.0
2021-06,2217993.0
2021-07,2562567.0
2021-08,2959508.0
2021-09,2260753.0
2021-10,2023698.0
2021-11,2031061.0
2021-12,2206667.0
2022-01,2460994.0
2022-02,2399409.0
2022-03,2109466.0
2022-04,2044585.0
2022-05,1954869.0
2022-06,2194114.0
2022-07,2754254.0
2022-08,2915761.0
2022-09,2308324.0
2022-10,2056837.0
2022-11,2095133.0
2022-12,2357970.0
