YYYY-MM,ELRW_USQNT
2015-01,30487.0
2015-02,27938.0
2015-03,21823.0
2015-04,20286.0
2015-05,16846.0
2015-06,14530.0
2015-07,13946.0
2015-08,16682.0
2015-09,14430.0
2015-10,15693.0
2015-11,22193.0
2015-12,25737.0
2016-01,30938.0
2016-02,34315.0
2016-03,25548.0
2016-04,21529.0
2016-05,16864.0
2016-06,15284.0
2016-07,14107.0
2016-08,17058.0
2016-09,14325.0
2016-10,14386.0
2016-11,20967.0
2016-12,25461.0
2017-01,30287.0
2017-02,35725.0
2017-03,7844.0
2017-04,7056.0
2017-05,5780.0
2017-06,5524.0
2017-07,6116.0
2017-08,6948.0
2017-09,6339.0
2017-10,6072.0
2017-11,7884.0
2017-12,12665.0
2018-01,14495.0
2018-02,16664.0
2018-03,11392.0
2018-04,9789.0
2018-05,7433.0
2018-06,7025.0
2018-07,9408.0
2018-08,11959.0
2018-09,7842.0
2018-10,6893.0
2018-11,7793.0
2018-12,12052.0
2019-01,13140.0
2019-02,13937.0
2019-03,7547.0
2019-04,5748.0
2019-05,4029.0
2019-06,4265.0
2019-07,4834.0
2019-08,6835.0
2019-09,5772.0
2019-10,4954.0
2019-11,5620.0
2019-12,8945.0
2020-01,10173.0
2020-02,7425.0
2020-03,5475.0
2020-04,3469.0
2020-05,2930.0
2020-06,3051.0
2020-07,3835.0
2020-08,4061.0
2020-09,3344.0
2020-10,3767.0
2020-11,5263.0
2020-12,6478.0
2021-01,11523.0
2021-02,13642.0
2021-03,5992.0
2021-04,3873.0
2021-05,3493.0
2021-06,4143.0
2021-07,4808.0
2021-08,4453.0
2021-09,4036.0
2021-10,3857.0
2021-11,5684.0
2021-12,9325.0
2022-01,16431.0
2022-02,14006.0
2022-03,10132.0
2022-04,5348.0
2022-05,2686.0
2022-06,3383.0
2022-07,3989.0
2022-08,5973.0
2022-09,3681.0
2022-10,4624.0
2022-11,4591.0
2022-12,10889.0
