YYYY-MM,CTY_GAS_USQNT
2015-01,1263010.0
2015-02,1255706.0
2015-03,1054771.0
2015-04,866017.0
2015-05,585708.0
2015-06,371236.0
2015-07,265896.0
2015-08,272571.0
2015-09,257772.0
2015-10,289087.0
2015-11,438929.0
2015-12,820387.0
2016-01,1069479.0
2016-02,1400787.0
2016-03,1182057.0
2016-04,865699.0
2016-05,554993.0
2016-06,379715.0
2016-07,333511.0
2016-08,325834.0
2016-09,308958.0
2016-10,342097.0
2016-11,585038.0
2016-12,951372.0
2017-01,1168937.0
2017-02,1476902.0
2017-03,1029793.0
2017-04,859340.0
2017-05,507821.0
2017-06,392482.0
2017-07,294277.0
2017-08,273273.0
2017-09,276540.0
2017-10,295988.0
2017-11,488908.0
2017-12,904094.0
2018-01,1172386.0
2018-02,1348520.0
2018-03,1129888.0
2018-04,834363.0
2018-05,522203.0
2018-06,408359.0
2018-07,328286.0
2018-08,268384.0
2018-09,257487.0
2018-10,275781.0
2018-11,567279.0
2018-12,811605.0
2019-01,1203485.0
2019-02,1163998.0
2019-03,936721.0
2019-04,856741.0
2019-05,612047.0
2019-06,392119.0
2019-07,335487.0
2019-08,266158.0
2019-09,288671.0
2019-10,297816.0
2019-11,477971.0
2019-12,329684.0
2020-01,1209282.0
2020-02,1089890.0
2020-03,994296.0
2020-04,781400.0
2020-05,590940.0
2020-06,396712.0
2020-07,298461.0
2020-08,280926.0
2020-09,261389.0
2020-10,280980.0
2020-11,561333.0
2020-12,833619.0
2021-01,1221291.0
2021-02,1259731.0
2021-03,959766.0
2021-04,744086.0
2021-05,507534.0
2021-06,381760.0
2021-07,310908.0
2021-08,245535.0
2021-09,245670.0
2021-10,303727.0
2021-11,524358.0
2021-12,875534.0
2022-01,1102715.0
2022-02,1231631.0
2022-03,1118461.0
2022-04,825457.0
2022-05,483911.0
2022-06,392319.0
2022-07,299713.0
2022-08,281893.0
2022-09,283590.0
2022-10,288527.0
2022-11,470378.0
2022-12,715950.0
