YYYY-MM,ELRW_USQNT
2015-01,1634667.0
2015-02,1564511.0
2015-03,1265493.0
2015-04,1181300.0
2015-05,967680.0
2015-06,1018652.0
2015-07,1082914.0
2015-08,1269659.0
2015-09,1058896.0
2015-10,950228.0
2015-11,1148507.0
2015-12,1347989.0
2016-01,1527132.0
2016-02,1536477.0
2016-03,1241687.0
2016-04,1093203.0
2016-05,942015.0
2016-06,1010856.0
2016-07,1110412.0
2016-08,1353204.0
2016-09,1001910.0
2016-10,893229.0
2016-11,1143781.0
2016-12,1347842.0
2017-01,1512777.0
2017-02,1498610.0
2017-03,1026076.0
2017-04,925813.0
2017-05,775238.0
2017-06,829017.0
2017-07,971728.0
2017-08,982515.0
2017-09,794958.0
2017-10,759136.0
2017-11,345416.0
2017-12,1033036.0
2018-01,1363325.0
2018-02,1401907.0
2018-03,1161664.0
2018-04,989551.0
2018-05,818121.0
2018-06,804870.0
2018-07,838511.0
2018-08,1168338.0
2018-09,1079525.0
2018-10,753173.0
2018-11,854287.0
2018-12,983570.0
2019-01,1279870.0
2019-02,1254900.0
2019-03,1031203.0
2019-04,982683.0
2019-05,819703.0
2019-06,793439.0
2019-07,816732.0
2019-08,1006329.0
2019-09,1017923.0
2019-10,792624.0
2019-11,760128.0
2019-12,918633.0
2020-01,1126697.0
2020-02,1121985.0
2020-03,1002121.0
2020-04,922904.0
2020-05,805013.0
2020-06,759104.0
2020-07,842153.0
2020-08,879528.0
2020-09,1054314.0
2020-10,738374.0
2020-11,806910.0
2020-12,950784.0
2021-01,1221363.0
2021-02,1280319.0
2021-03,983609.0
2021-04,915313.0
2021-05,764677.0
2021-06,770400.0
2021-07,847531.0
2021-08,1088516.0
2021-09,932214.0
2021-10,788035.0
2021-11,829161.0
2021-12,960520.0
2022-01,1176511.0
2022-02,1202055.0
2022-03,1044422.0
2022-04,926271.0
2022-05,746831.0
2022-06,762172.0
2022-07,888271.0
2022-08,1032467.0
2022-09,938128.0
2022-10,728320.0
2022-11,701929.0
2022-12,783597.0
