YYYY-MM,CTY_GAS_USQNT
2015-01,16153613.0
2015-02,14869766.0
2015-03,13089247.0
2015-04,11020066.0
2015-05,6786087.0
2015-06,3745548.0
2015-07,3380204.0
2015-08,3127368.0
2015-09,4200537.0
2015-10,3671220.0
2015-11,4854812.0
2015-12,8463086.0
2016-01,12510667.0
2016-02,16213142.0
2016-03,14290320.0
2016-04,10934562.0
2016-05,6057197.0
2016-06,4303399.0
2016-07,3539014.0
2016-08,3571040.0
2016-09,3843204.0
2016-10,2825828.0
2016-11,3868763.0
2016-12,8401745.0
2017-01,11420064.0
2017-02,13091643.0
2017-03,14883952.0
2017-04,11991436.0
2017-05,6095002.0
2017-06,4550837.0
2017-07,4210228.0
2017-08,5147308.0
2017-09,4784436.0
2017-10,3389389.0
2017-11,5218277.0
2017-12,11729439.0
2018-01,17340958.0
2018-02,18895625.0
2018-03,16221577.0
2018-04,10985367.0
2018-05,6608076.0
2018-06,4381449.0
2018-07,4191182.0
2018-08,4865334.0
2018-09,5151548.0
2018-10,4346557.0
2018-11,6392024.0
2018-12,10492002.0
2019-01,17112718.0
2019-02,17736305.0
2019-03,14932505.0
2019-04,11690454.0
2019-05,7610375.0
2019-06,4836179.0
2019-07,4737117.0
2019-08,4447837.0
2019-09,3916111.0
2019-10,3812059.0
2019-11,4774755.0
2019-12,5604695.0
2020-01,14688880.0
2020-02,17038737.0
2020-03,15151922.0
2020-04,11138286.0
2020-05,8402502.0
2020-06,4948653.0
2020-07,4992589.0
2020-08,4617662.0
2020-09,2125088.0
2020-10,884587.0
2020-11,6828705.0
2020-12,11654890.0
2021-01,19170714.0
2021-02,19916008.0
2021-03,15031893.0
2021-04,11179456.0
2021-05,6837514.0
2021-06,4922163.0
2021-07,4557798.0
2021-08,4946185.0
2021-09,4261278.0
2021-10,4475550.0
2021-11,6236751.0
2021-12,10884781.0
2022-01,17189174.0
2022-02,18908551.0
2022-03,15821935.0
2022-04,11496123.0
2022-05,6164321.0
2022-06,4571533.0
2022-07,3630500.0
2022-08,4552183.0
2022-09,4434612.0
2022-10,4139433.0
2022-11,6349514.0
2022-12,10641284.0
